row_label_raw,row_label_full,STT,Tên,Địa chỉ,Hoạt động chính,numeric__Tên,numeric__Địa chỉ,numeric__Hoạt động chính
1,1,1,Xí nghiệp Tiêu thụ và Dịch vụ,"Quận 1, Thành phố Hồ Chí Minh","Mua bán xi măng và các sản phẩm từ xi măng, vật liệu xây dựng",,,
2,2,2,Trạm nghiền Phú Hữu,"Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Sản xuất xi măng,,,
3,3,3,Trạm nghiền Thủ Đức,"Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Đã đóng cửa và đang chờ bàn giao lại,,,
4,4,4,Nhà máy Xi măng Bình Phước,"Thị xã Bình Long, Tỉnh Bình Phước","Sản xuất đá vôi, clinker và xi măng",,,
5,5,5,Trạm nghiền Long An,"Huyện Bến Lức, Tỉnh Long An",Sản xuất xi măng,,,
6,6,6,Nhà máy Xi măng Kiên Lương,"Thị trấn Kiên Lương, Tỉnh Kiên Giang","Sản xuất đá vôi, clinker và xi măng",,,
7,7,7,Trạm nghiền Cam Ranh,"Thành phố Cam Ranh, Tỉnh Khánh Hòa",Sản xuất xi măng,,,
8,8,8,Xí nghiệp Quản lý đường B.O.T Phú Hữu,"Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Xây dựng công trình giao thông (theo hình thức B.O.T),,,
