row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộng triệu đồng
,,,Quá hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,3.349.166,-,-,-,-,-,-,3.349.166,,3349166.0,,,,,,,3349166.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,29.825.253,-,-,-,-,-,-,29.825.253,,29825253.0,,,,,,,29825253.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,64.954.583,3.885.740,2.718.747,2.535.499,2.696.919,-,76.791.488,,,64954583.0,3885740.0,2718747.0,2535499.0,2696919.0,,76791488.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,212.152,7.719.682,-,-,-,-,-,7.931.834,,212152.0,7719682.0,,,,,,7931834.0
Cho vay khách hàng và mua nợ (*),Tài sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),18.894.036,-,251.016.585,282.018.924,97.486.454,85.893.184,41.905.455,484.570,777.699.208,18894036.0,,251016585.0,282018924.0,97486454.0,85893184.0,41905455.0,484570.0,777699208.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),226.635,-,20.895.655,20.328.109,21.361.341,42.640.018,44.438.056,60.230.646,210.120.460,226635.0,,20895655.0,20328109.0,21361341.0,42640018.0,44438056.0,60230646.0,210120460.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,775.670,-,-,-,-,-,-,775.670,,775670.0,,,,,,,775670.0
Tài sản cố định và bắt động sản đầu tư,Tài sản > Tài sản cố định và bắt động sản đầu tư,Tài sản cố định và bắt động sản đầu tư,-,5.664.531,-,-,-,-,-,-,5.664.531,,5664531.0,,,,,,,5664531.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),291.790,28.900.121,-,-,-,-,-,-,29.191.911,291790.0,28900121.0,,,,,,,29191911.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),19.412.461,68.726.893,344.586.505,306.232.773,121.566.542,131.068.701,89.040.430,60.715.216,1.141.349.521,19412461.0,68726893.0,344586505.0,306232773.0,121566542.0,131068701.0,89040430.0,60715216.0,1141349521.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,8.156.285,-,-,-,-,-,8.156.285,,,8156285.0,,,,,,8156285.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,89.519.309,8.597.611,3.590.615,8.462.050,-,-,110.169.585,,,89519309.0,8597611.0,3590615.0,8462050.0,,,110169585.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,386.473.392,120.624.054,114.310.515,80.948.040,11.778.306,20.172,714.154.479,,,386473392.0,120624054.0,114310515.0,80948040.0,11778306.0,20172.0,714154479.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(193.425),72.330,91.253,153.387,68.000,-,191.545,,,-193425.0,72330.0,91253.0,153387.0,68000.0,,191545.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,540.433,1.411.277,774.781,-,62.249,4.713,2.793.453,,,540433.0,1411277.0,774781.0,,62249.0,4713.0,2793453.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,4.899.998,5.050.569,30.297.714,35.928.347,39.985.764,12.801.641,128.964.033,,,4899998.0,5050569.0,30297714.0,35928347.0,39985764.0,12801641.0,128964033.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,47.311.049,-,-,-,-,-,-,47.311.049,,47311049.0,,,,,,,47311049.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,47.311.049,489.395.992,135.755.841,149.064.878,125.491.824,51.894.319,12.826.526,1.011.740.429,,47311049.0,489395992.0,135755841.0,149064878.0,125491824.0,51894319.0,12826526.0,1011740429.0
Mức chênh nhạy cảm với lãi suất nội bảng (3) = (1) – (2),Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng (3) = (1) – (2),Mức chênh nhạy cảm với lãi suất nội bảng (3) = (1) – (2),19.412.461,21.415.844,(144.809.487),170.476.932,(27.498.336),5.576.877,37.146.111,47.888.690,129.609.092,19412461.0,21415844.0,-144809487.0,170476932.0,-27498336.0,5576877.0,37146111.0,47888690.0,129609092.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng (5) = (3) + (4)","Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng (5) = (3) + (4)","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng (5) = (3) + (4)",19.412.461,21.415.844,(144.809.487),170.476.932,(27.498.336),5.576.877,37.146.111,47.888.690,129.609.092,19412461.0,21415844.0,-144809487.0,170476932.0,-27498336.0,5576877.0,37146111.0,47888690.0,129609092.0
