row_label_raw,row_label_full,col_0,Dư phòngchungtriệu đồng,Dư phòngcụ thểtriệu đồng,Tổng cộngtriệu đồng,numeric__Dư phòngchungtriệu đồng,numeric__Dư phòngcụ thểtriệu đồng,numeric__Tổng cộngtriệu đồng
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,4.551.746,6.917.817,11.469.563,4551746.0,6917817.0,11469563.0
Trích lập trong năm (Thuyết minh 35),Trích lập trong năm (Thuyết minh 35),Trích lập trong năm (Thuyết minh 35),1.241.877,8.292.891,9.534.768,1241877.0,8292891.0,9534768.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,-,(9.396.915),(9.396.915),,-9396915.0,-9396915.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,1.950,495,2.445,1950.0,495.0,2445.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,5.795.573,5.814.288,11.609.861,5795573.0,5814288.0,11609861.0
