row_label_raw,row_label_full,"Số lượng cán bộ, công nhân viên bình quân trong năm (người)",Năm 2025triệu đồng > 18.721,Năm 2024triệu đồng > 17.108,numeric__Năm 2025triệu đồng > 18.721,numeric__Năm 2024triệu đồng > 17.108
"Tổng thu nhập của cán bộ, công nhân viên","Tổng thu nhập của cán bộ, công nhân viên","Tổng thu nhập của cán bộ, công nhân viên",8.851.768,7.677.049,8851768.0,7677049.0
Thu nhập bình quân tháng(triệu đồng/người/tháng),Thu nhập bình quân tháng(triệu đồng/người/tháng),Thu nhập bình quân tháng(triệu đồng/người/tháng),"39,40","37,40",39.4,37.4
