row_label_raw,row_label_full,col_0,Miền Bắc triệu đồng,Miền Trung triệu đồng,Miền Nam triệu đồng,Nước ngoài triệu đồng,Loại trừ/Phân loại triệu đồng,Tổng cộng triệu đồng,numeric__Miền Bắc triệu đồng,numeric__Miền Trung triệu đồng,numeric__Miền Nam triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Loại trừ/Phân loại triệu đồng,numeric__Tổng cộng triệu đồng
I. Thu nhập,I. Thu nhập,I. Thu nhập,174.442.496,8.000.254,41.850.617,1.638.439,(104.342.087),121.589.719,174442496.0,8000254.0,41850617.0,1638439.0,-104342087.0,121589719.0
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,137.268.222,6.922.073,36.114.068,1.540.099,(92.756.346),89.088.116,137268222.0,6922073.0,36114068.0,1540099.0,-92756346.0,89088116.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,19.017.176,240.256,1.859.189,53.807,(3.108.192),18.062.236,19017176.0,240256.0,1859189.0,53807.0,-3108192.0,18062236.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,18.157.098,837.925,3.877.360,44.533,(8.477.549),14.439.367,18157098.0,837925.0,3877360.0,44533.0,-8477549.0,14439367.0
II. Chi phí,II. Chi phí,II. Chi phí,(141.371.147),(5.252.944),(26.331.707),(1.529.230),100.907.171,(73.577.857),-141371147.0,-5252944.0,-26331707.0,-1529230.0,100907171.0,-73577857.0
1. Chi phí lãi và các chi phí tương tự,1. Chi phí lãi và các chi phí tương tự,1. Chi phí lãi và các chi phí tương tự,(103.820.743),(4.264.844),(22.029.556),(1.187.249),93.824.393,(37.477.999),-103820743.0,-4264844.0,-22029556.0,-1187249.0,93824393.0,-37477999.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(1.062.788),(14.264),(39.768),(42.395),-,(1.159.215),-1062788.0,-14264.0,-39768.0,-42395.0,,-1159215.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(36.487.616),(973.836),(4.262.383),(299.586),7.082.778,(34.940.643),-36487616.0,-973836.0,-4262383.0,-299586.0,7082778.0,-34940643.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,33.071.349,2.747.310,15.518.910,109.209,(3.434.916),48.011.862,33071349.0,2747310.0,15518910.0,109209.0,-3434916.0,48011862.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(10.073.079),(627.294),(6.408.527),(69.520),3.434.916,(13.743.504),-10073079.0,-627294.0,-6408527.0,-69520.0,3434916.0,-13743504.0
Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),22.998.270,2.120.016,9.110.383,39.689,-,34.268.358,22998270.0,2120016.0,9110383.0,39689.0,,34268358.0
