row_label_raw,row_label_full,col_0,Quả hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Quả hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,4.965.786,-,-,-,-,-,-,4.965.786,,4965786.0,,,,,,,4965786.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,68.494.426,-,-,-,-,-,-,68.494.426,,68494426.0,,,,,,,68494426.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,166.159.332,1.943.165,2.748.229,8.773.053,3.309.043,-,182.932.822,,,166159332.0,1943165.0,2748229.0,8773053.0,3309043.0,,182932822.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,316.928,4.375.694,-,-,-,-,-,4.692.622,,316928.0,4375694.0,,,,,,4692622.0
Cho vay khách hàng và mua nợ (*),Tài sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),18.760.143,-,302.220.332,419.365.019,129.683.218,136.984.091,79.187.143,284.738,1.086.484.684,18760143.0,,302220332.0,419365019.0,129683218.0,136984091.0,79187143.0,284738.0,1086484684.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),50.000,-,10.937.610,44.494.443,26.157.043,34.366.222,55.648.293,54.153.978,225.807.589,50000.0,,10937610.0,44494443.0,26157043.0,34366222.0,55648293.0,54153978.0,225807589.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,559.624,-,-,-,-,-,-,559.624,,559624.0,,,,,,,559624.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,5.839.360,-,-,-,-,-,-,5.839.360,,5839360.0,,,,,,,5839360.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),70.224,49.532.988,-,-,-,-,-,-,49.603.212,70224.0,49532988.0,,,,,,,49603212.0
