row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.153.177,3.798.646,24.846,4.976.669,1153177.0,3798646.0,24846.0,4976669.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,32.212,789.835,1.025,823.072,32212.0,789835.0,1025.0,823072.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(105.478),-,(105.478),,-105478.0,,-105478.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(10.622),-,(10.622),,-10622.0,,-10622.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,1.263,-,1.263,,1263.0,,1263.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.185.389,4.473.644,25.871,5.684.904,1185389.0,4473644.0,25871.0,5684904.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,259.380,3.020.166,17.403,3.296.949,259380.0,3020166.0,17403.0,3296949.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,20.870,578.813,1.621,601.304,20870.0,578813.0,1621.0,601304.0
Thanh lý,Giá trị hao mòn luỹ kế > Thanh lý,Thanh lý,-,(21.406),-,(21.406),,-21406.0,,-21406.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,-,(3.348),-,(3.348),,-3348.0,,-3348.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,391,-,391,,391.0,,391.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,280.250,3.574.616,19.024,3.873.890,280250.0,3574616.0,19024.0,3873890.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,893.797,778.480,7.443,1.679.720,893797.0,778480.0,7443.0,1679720.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,905.139,899.028,6.847,1.811.014,905139.0,899028.0,6847.0,1811014.0
