row_label_raw,row_label_full,Ông Phạm Như Ánh,Tổng Giám đốc,numeric__Tổng Giám đốc
Bà Nguyễn Minh Châu,Bà Nguyễn Minh Châu,Bà Nguyễn Minh Châu,Phó Tổng Giám đốc,
Bà Phạm Thị Trung Hà,Bà Phạm Thị Trung Hà,Bà Phạm Thị Trung Hà,Phó Tổng Giám đốc,
Ông Trần Minh Đạt,Ông Trần Minh Đạt,Ông Trần Minh Đạt,Phó Tổng Giám đốc,
Ông Hà Trọng Khiêm,Ông Hà Trọng Khiêm,Ông Hà Trọng Khiêm,Phó Tổng Giám đốc,
Ông Lê Quốc Minh,Ông Lê Quốc Minh,Ông Lê Quốc Minh,Phó Tổng Giám đốc,
Ông Nguyễn Xuân Học,Ông Nguyễn Xuân Học,Ông Nguyễn Xuân Học,Phó Tổng Giám đốc,
Bà Trần Thị Bảo Quế,Bà Trần Thị Bảo Quế,Bà Trần Thị Bảo Quế,Thành viên,
Ông Vũ Hồng Phú,Ông Vũ Hồng Phú,Ông Vũ Hồng Phú,Thành viên,
Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Thành viên,
Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên,
Bà Nguyễn Thị Thanh Nga,Bà Nguyễn Thị Thanh Nga,Bà Nguyễn Thị Thanh Nga,Giám đốc Tài chính,
