row_label_raw,row_label_full,col_0,31/12/2025triệu đồng,31/12/2024triệu đồng,numeric__31/12/2025triệu đồng,numeric__31/12/2024triệu đồng
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,-,9.523,,9523.0
Chi phí trả trước chờ phân bổ khác,Chi phí trả trước chờ phân bổ khác,Chi phí trả trước chờ phân bổ khác,3.478.007,3.066.449,3478007.0,3066449.0
Hàng hóa bất động sản,Hàng hóa bất động sản,Hàng hóa bất động sản,246.495,158.912,246495.0,158912.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,4.169.589,2.638.865,4169589.0,2638865.0
,,,7.894.091,5.873.749,7894091.0,5873749.0
