row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiện vận tảivà thiết bị truyền đãntriệu đồng,Tài sản cố địnhhửu hình kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiện vận tảivà thiết bị truyền đãntriệu đồng,numeric__Tài sản cố địnhhửu hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.602.069,3.972.594,1.496.507,943.502,9.014.672,2602069.0,3972594.0,1496507.0,943502.0,9014672.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,23.381,534.230,181.278,15.205,754.094,23381.0,534230.0,181278.0,15205.0,754094.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.879),(258.343),(87.642),(2.228),(354.092),-5879.0,-258343.0,-87642.0,-2228.0,-354092.0
Phân loại lại trong năm,Nguyên giá > Phân loại lại trong năm,Phân loại lại trong năm,-,1.018.939,(75.484),(943.499),(44),,1018939.0,-75484.0,-943499.0,-44.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,1.167,6.895,360,184,8.606,1167.0,6895.0,360.0,184.0,8606.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.620.738,5.274.315,1.515.019,13.164,9.423.236,2620738.0,5274315.0,1515019.0,13164.0,9423236.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,728.157,2.886.232,1.152.135,497.452,5.263.976,728157.0,2886232.0,1152135.0,497452.0,5263976.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,46.639,370.601,85.794,48.732,551.766,46639.0,370601.0,85794.0,48732.0,551766.0
Thanh lý,Giá trị hao mòn luỹ kế > Thanh lý,Thanh lý,(4.499),(128.763),(66.354),(1.838),(201.454),-4499.0,-128763.0,-66354.0,-1838.0,-201454.0
Điều chỉnh theo Kiểm toán Nhà nước,Giá trị hao mòn luỹ kế > Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,-,1.221,-,-,1.221,,1221.0,,,1221.0
Phân loại lại trong năm,Giá trị hao mòn luỹ kế > Phân loại lại trong năm,Phân loại lại trong năm,-,605.221,(68.774),(536.478),(31),,605221.0,-68774.0,-536478.0,-31.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,467,1.445,178,135,2.225,467.0,1445.0,178.0,135.0,2225.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,770.764,3.735.957,1.102.979,8.003,5.617.703,770764.0,3735957.0,1102979.0,8003.0,5617703.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.873.912,1.086.362,344.372,446.050,3.750.696,1873912.0,1086362.0,344372.0,446050.0,3750696.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.849.974,1.538.358,412.040,5.161,3.805.533,1849974.0,1538358.0,412040.0,5161.0,3805533.0
