row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Quyền sử dụngđất có thời hạntriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Quyền sử dụngđất có thời hạntriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,51.835,208.580,260.415,51835.0,208580.0,260415.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.971,-,4.971,4971.0,,4971.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(1.000),(9.260),(10.260),-1000.0,-9260.0,-10260.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,55.806,199.320,255.126,55806.0,199320.0,255126.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.923,19.377,26.300,6923.0,19377.0,26300.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.034,5.111,6.145,1034.0,5111.0,6145.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(132),-,(132),-132.0,,-132.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.825,24.488,32.313,7825.0,24488.0,32313.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,44.912,189.203,234.115,44912.0,189203.0,234115.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,47.981,174.832,222.813,47981.0,174832.0,222813.0
