row_label_raw,row_label_full,col_0,Miền Bắc triệu đồng,Miền Trung triệu đồng,Miền Nam triệu đồng,Nước ngoài triệu đồng,Loại trừ/Phân loại triệu đồng,Tổng cộng triệu đồng,numeric__Miền Bắc triệu đồng,numeric__Miền Trung triệu đồng,numeric__Miền Nam triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Loại trừ/Phân loại triệu đồng,numeric__Tổng cộng triệu đồng
I. Thu nhập,I. Thu nhập,I. Thu nhập,151.246.693,6.036.328,32.864.213,1.048.881,(90.073.113),101.123.002,151246693.0,6036328.0,32864213.0,1048881.0,-90073113.0,101123002.0
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,108.369.617,5.172.837,28.842.601,926.583,(74.249.745),69.061.893,108369617.0,5172837.0,28842601.0,926583.0,-74249745.0,69061893.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,15.632.563,191.826,1.093.084,58.378,(2.373.249),14.602.602,15632563.0,191826.0,1093084.0,58378.0,-2373249.0,14602602.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,27.244.513,671.665,2.928.528,63.920,(13.450.119),17.458.507,27244513.0,671665.0,2928528.0,63920.0,-13450119.0,17458507.0
II. Chi phí,II. Chi phí,II. Chi phí,(118.675.262),(3.879.291),(20.845.471),(955.417),81.638.411,(62.717.030),-118675262.0,-3879291.0,-20845471.0,-955417.0,81638411.0,-62717030.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(81.831.010),(3.073.264),(17.098.449),(683.355),74.776.404,(27.909.674),-81831010.0,-3073264.0,-17098449.0,-683355.0,74776404.0,-27909674.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(1.518.182),(25.197),(67.012),(13.598),-,(1.623.989),-1518182.0,-25197.0,-67012.0,-13598.0,,-1623989.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(35.326.070),(780.830),(3.680.010),(258.464),6.862.007,(33.183.367),-35326070.0,-780830.0,-3680010.0,-258464.0,6862007.0,-33183367.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,32.571.431,2.157.037,12.018.742,93.464,(8.434.702),38.405.972,32571431.0,2157037.0,12018742.0,93464.0,-8434702.0,38405972.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(9.431.852),(695.981),(7.815.982),(67.531),8.434.702,(9.576.644),-9431852.0,-695981.0,-7815982.0,-67531.0,8434702.0,-9576644.0
Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),23.139.579,1.461.056,4.202.760,25.933,-,28.829.328,23139579.0,1461056.0,4202760.0,25933.0,,28829328.0
