row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.153.177,3.020.072,22.895,4.196.144,1153177.0,3020072.0,22895.0,4196144.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,793.347,1.951,795.298,,793347.0,1951.0,795298.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(10.737),-,(10.737),,-10737.0,,-10737.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(4.332),-,(4.332),,-4332.0,,-4332.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,296,-,296,,296.0,,296.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.153.177,3.798.646,24.846,4.976.669,1153177.0,3798646.0,24846.0,4976669.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,238.703,2.282.318,15.341,2.536.362,238703.0,2282318.0,15341.0,2536362.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,20.677,742.947,2.062,765.686,20677.0,742947.0,2062.0,765686.0
Thanh lý,Giá trị hao mòn luỹ kế > Thanh lý,Thanh lý,-,(10.710),-,(10.710),,-10710.0,,-10710.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,-,5.329,-,5.329,,5329.0,,5329.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,282,-,282,,282.0,,282.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,259.380,3.020.166,17.403,3.296.949,259380.0,3020166.0,17403.0,3296949.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,914.474,737.754,7.554,1.659.782,914474.0,737754.0,7554.0,1659782.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,893.797,778.480,7.443,1.679.720,893797.0,778480.0,7443.0,1679720.0
