row_label_raw,row_label_full,col_0,31/12/2025%,31/12/2024%,numeric__31/12/2025%,numeric__31/12/2024%
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"4,80 - 9,20","2,60 – 6,00",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"3,75 - 4,25","4,40 – 4,60",,
Tiền vay các tổ chức tín dụng khác bằng VND,Tiền gửi có kỳ hạn bằng ngoại tệ > Tiền vay các tổ chức tín dụng khác bằng VND,Tiền vay các tổ chức tín dụng khác bằng VND,"6,30","4,10 – 7,60",6.3,
Tiền vay các tổ chức tín dụng khác bằng ngoại tệ,Tiền vay các tổ chức tín dụng khác bằng ngoại tệ,Tiền vay các tổ chức tín dụng khác bằng ngoại tệ,"2,52 - 5,04","3,50 – 6,56",,
