row_label_raw,row_label_full,Số dư đầu năm(Hoàn nhập)/trích lập trong năm,Năm 2025 triệu đồng > 166.193(64.858),Năm 2024 triệu đồng > 163.80228.807,numeric__Năm 2025 triệu đồng > 166.193(64.858),numeric__Năm 2024 triệu đồng > 163.80228.807
Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,(10.107),-,-10107.0,
Biến động khác,Biến động khác,Biến động khác,-,(26.416),,-26416.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,91.228,166.193,91228.0,166193.0
