row_label_raw,row_label_full,Nhóm nợ,Nhóm nợ_1,Phân loại nợ theo phương pháp định lượng,Tỷ lệ dự phòng,numeric__Nhóm nợ_1,numeric__Phân loại nợ theo phương pháp định lượng,numeric__Tỷ lệ dự phòng
1,1,1,Nợ đủ tiêu chuẩn,(a) Nợ trong hạn và được đánh giá là có khả năng thu hồi đầy đủ cả nợ gốc và lãi đúng hạn; hoặc(b) Nợ quá hạn dưới 10 ngày và được đánh giá là có khả năng thu hồi đầy đủ nợ gốc và lãi bị quá hạn và thu hồi đầy đủ nợ gốc và lãi còn lại đúng thời hạn.(c) Nợ được phân loại vào nhóm 1 theo quy định tại Khoản 2 Điều 10 Thông tư 31.,0%,,,0.0
2,2,2,Nợ cần chú ý,"(a) Nợ quá hạn từ 10 ngày đến 90 ngày; hoặc(b) Nợ điều chỉnh kỳ hạn trả nợ lần đầu.(c) Nợ được phân loại vào nhóm 2 theo quy định tại Khoản 2, Khoản 3 Điều 10 Thông tư 31.",5%,,,0.05
3,3,3,Nợ dưới tiêu chuẩn,"(a) Nợ quá hạn từ 91 ngày đến 180 ngày; hoặc(b) Nợ gia hạn nợ lần đầu; hoặc(c) Nợ được miễn hoặc giảm lãi do khách hàng không đủ khả năng trả lãi đầy đủ theo hợp đồng tin dụng; hoặc(d) Nợ thuộc một trong các trường hợp sau đây chưa thu hồi được trong thời gian dưới 30 ngày kể từ ngày có quyết định thu hồi:- Khoản nợ vi phạm quy định tại các Khoản 1, 3, 4, 5, 6 Điều 134 Luật các tổ chức tín dụng; hoặc- Khoản nợ vi phạm quy định tại các Khoản 1, 2, 3, 4 Điều 135 Luật các tổ chức tín dụng; hoặc- Khoản nợ vi phạm quy định tại các Khoản 1, 2, 5, 9 Điều 136 Luật các tổ chức tín dụng.(e) Khoản nợ trong thời hạn thu hồi theo kết luận thanh tra, kiểm tra; hoặc(f) Nợ được phân loại vào nhóm 3 theo quy định tại Khoản 2, Khoản 3 Điều 10 Thông tư 31; hoặc(g) Khoản nợ phải thu hồi theo quyết định thu hồi nợ trước hạn của ngân hàng, tổ chức tín dụng phi ngân hàng do khách hàng vi phạm thỏa thuân với ngân hàng, tổ chức tín dụng phi ngân hàng chưa thu hồi được trong thời gian dưới 30 ngày kể từ ngày có quyết định thu hồi; hoặc(h) Khoản nợ phải phân loại vào nhóm 3 theo quy định tại Khoản 4 Điều 8 Thông tư 31.",20%,,,0.2
