row_label_raw,row_label_full,Khoản mục biến động lớn,Giá trị triệu đồng,numeric__Giá trị triệu đồng
Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,10.457.898,10457898.0
Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,2.210.432,2210432.0
Giảm lãi thuần từ hoạt động kinh doanh ngoại hối,Giảm lãi thuần từ hoạt động kinh doanh ngoại hối,Giảm lãi thuần từ hoạt động kinh doanh ngoại hối,(243.242),-243242.0
Giảm lãi thuần từ mua bán chứng khoán kinh doanh,Giảm lãi thuần từ mua bán chứng khoán kinh doanh,Giảm lãi thuần từ mua bán chứng khoán kinh doanh,(1.087.638),-1087638.0
Giảm lãi thuần từ mua bán chứng khoán đầu tư,Giảm lãi thuần từ mua bán chứng khoán đầu tư,Giảm lãi thuần từ mua bán chứng khoán đầu tư,(1.213.012),-1213012.0
Tăng lãi thuần từ hoạt động khác,Tăng lãi thuần từ hoạt động khác,Tăng lãi thuần từ hoạt động khác,2.033.654,2033654.0
"Tăng thu nhập từ góp vốn, mua cổ phần","Tăng thu nhập từ góp vốn, mua cổ phần","Tăng thu nhập từ góp vốn, mua cổ phần",121.701,121701.0
Tăng chi phí hoạt động,Tăng chi phí hoạt động,Tăng chi phí hoạt động,(2.673.903),-2673903.0
Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,(4.166.860),-4166860.0
Tăng chi phí thuế thu nhập doanh nghiệp,Tăng chi phí thuế thu nhập doanh nghiệp,Tăng chi phí thuế thu nhập doanh nghiệp,(1.007.316),-1007316.0
,,,4.431.714,4431714.0
