row_label_raw,row_label_full,col_0,Tài chính ngân hàng triệu đồng,Chứng khoán – Quản lý quỹ triệu đồng,Bảo hiểm triệu đồng,Khai thác nợ - Quản lý tài sản triệu đồng,Loại trừ/ Phân loại triệu đồng,Tổng cộng triệu đồng,numeric__Tài chính ngân hàng triệu đồng,numeric__Chứng khoán – Quản lý quỹ triệu đồng,numeric__Bảo hiểm triệu đồng,numeric__Khai thác nợ - Quản lý tài sản triệu đồng,numeric__Loại trừ/ Phân loại triệu đồng,numeric__Tổng cộng triệu đồng
III. Tài sản,III. Tài sản,III. Tài sản,1.590.458.621,31.478.443,27.073.013,2.250.753,(35.496.903),1.615.763.927,1590458621.0,31478443.0,27073013.0,2250753.0,-35496903.0,1615763927.0
1. Tiền mật,1. Tiền mật,1. Tiền mật,4.963.484,359,502,1.441,-,4.965.786,4963484.0,359.0,502.0,1441.0,,4965786.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,5.026.150,132.990,397.833,59.574,-,5.616.547,5026150.0,132990.0,397833.0,59574.0,,5616547.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,1.580.468.987,31.345.094,26.674.678,2.189.738,(35.496.903),1.605.181.594,1580468987.0,31345094.0,26674678.0,2189738.0,-35496903.0,1605181594.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,1.454.652.920,22.819.473,22.405.488,848.676,(26.985.155),1.473.741.402,1454652920.0,22819473.0,22405488.0,848676.0,-26985155.0,1473741402.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1.429.102.233,19.421.177,-,-,(26.567.489),1.421.955.921,1429102233.0,19421177.0,,,-26567489.0,1421955921.0
2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,2.371.599,131.190,212.578,122.545,-,2.837.912,2371599.0,131190.0,212578.0,122545.0,,2837912.0
3. Nợ phải trả khác,3. Nợ phải trả khác,3. Nợ phải trả khác,23.179.088,3.267.106,22.192.910,726.131,(417.666),48.947.569,23179088.0,3267106.0,22192910.0,726131.0,-417666.0,48947569.0
