row_label_raw,row_label_full,col_0,Tài chính ngân hàng triệu đồng,Chứng khoán – Quản lý quỹ triệu đồng,Bảo hiểm triệu đồng,Khai thác nợ - Quản lý tài sản triệu đồng,Loại trừ/ Phân loại triệu đồng,Tổng cộng triệu đồng,numeric__Tài chính ngân hàng triệu đồng,numeric__Chứng khoán – Quản lý quỹ triệu đồng,numeric__Bảo hiểm triệu đồng,numeric__Khai thác nợ - Quản lý tài sản triệu đồng,numeric__Loại trừ/ Phân loại triệu đồng,numeric__Tổng cộng triệu đồng
I. Thu nhập,I. Thu nhập,I. Thu nhập,209.317.554,3.896.638,10.872.447,1.845.167,(104.342.087),121.589.719,209317554.0,3896638.0,10872447.0,1845167.0,-104342087.0,121589719.0
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,178.843.629,1.900.290,1.054.039,46.504,(92.756.346),89.088.116,178843629.0,1900290.0,1054039.0,46504.0,-92756346.0,89088116.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,8.918.703,1.154.644,9.437.178,1.659.903,(3.108.192),18.062.236,8918703.0,1154644.0,9437178.0,1659903.0,-3108192.0,18062236.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,21.555.222,841.704,381.230,138.760,(8.477.549),14.439.367,21555222.0,841704.0,381230.0,138760.0,-8477549.0,14439367.0
II. Chi phí,II. Chi phí,II. Chi phí,(161.013.533),(2.322.821),(10.266.329),(882.345),100.907.171,(73.577.857),-161013533.0,-2322821.0,-10266329.0,-882345.0,100907171.0,-73577857.0
1. Chi phí lãi và các khoản chi phí tương tự,1. Chi phí lãi và các khoản chi phí tương tự,1. Chi phí lãi và các khoản chi phí tương tự,(130.466.243),(834.880),(1.269),-,93.824.393,(37.477.999),-130466243.0,-834880.0,-1269.0,,93824393.0,-37477999.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(979.302),(57.497),(101.535),(20.881),-,(1.159.215),-979302.0,-57497.0,-101535.0,-20881.0,,-1159215.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(29.567.988),(1.430.444),(10.163.525),(861.464),7.082.778,(34.940.643),-29567988.0,-1430444.0,-10163525.0,-861464.0,7082778.0,-34940643.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,48.304.021,1.573.817,606.118,962.822,(3.434.916),48.011.862,48304021.0,1573817.0,606118.0,962822.0,-3434916.0,48011862.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(17.164.781),(33.152),20.071,(558),3.434.916,(13.743.504),-17164781.0,-33152.0,20071.0,-558.0,3434916.0,-13743504.0
Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),31.139.240,1.540.665,626.189,962.264,-,34.268.358,31139240.0,1540665.0,626189.0,962264.0,,34268358.0
