row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thăng dư vốn cổ phần triệu đồng,Vốn khác triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ khác triệu đồng,Chênh lệch tỷ giá hối đoái triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thăng dư vốn cổ phần triệu đồng,numeric__Vốn khác triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Chênh lệch tỷ giá hối đoái triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,53.063.241,1.304.334,1.928.258,9.294.156,4.735.002,967.689,137.797,40.718.224,4.910.880,117.059.581,53063241.0,1304334.0,1928258.0,9294156.0,4735002.0,967689.0,137797.0,40718224.0,4910880.0,117059581.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,26.778.939,604.039,27.382.978,,,,,,,,26778939.0,604039.0,27382978.0
Trích lập các quỹ thuộc vốn chủ sở hữu trong năm,Trích lập các quỹ thuộc vốn chủ sở hữu trong năm,Trích lập các quỹ thuộc vốn chủ sở hữu trong năm,-,-,-,2.222.109,2.238.175,556.625,-,(5.016.909),-,-,,,,2222109.0,2238175.0,556625.0,,-5016909.0,,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,-,-,(1.866.219),(21.316),(1.887.535),,,,,,,,-1866219.0,-21316.0,-1887535.0
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(620.313),-,-,-,(620.313),,,,,,-620313.0,,,,-620313.0
Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm (i),Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm (i),Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm (i),27.486.758,-,-,-,-,-,-,(27.486.758),-,-,27486758.0,,,,,,,-27486758.0,,
Chia cổ tức trong năm bằng tiền,Chia cổ tức trong năm bằng tiền,Chia cổ tức trong năm bằng tiền,-,-,-,-,-,-,-,(1.830.682),(241.910),(2.072.592),,,,,,,,-1830682.0,-241910.0,-2072592.0
Thoái vốn tại công ty con,Thoái vốn tại công ty con,Thoái vốn tại công ty con,-,-,-,-,-,-,-,1.367.420,408.871,1.776.291,,,,,,,,1367420.0,408871.0,1776291.0
Tăng vốn tại công ty con từ phát hành cổ phiếu để trả cổ tức,Tăng vốn tại công ty con từ phát hành cổ phiếu để trả cổ tức,Tăng vốn tại công ty con từ phát hành cổ phiếu để trả cổ tức,-,-,182.847,-,-,-,-,(68.154),(114.693),-,,,182847.0,,,,,-68154.0,-114693.0,
Tăng vốn tại công ty con bằng tiền,Tăng vốn tại công ty con bằng tiền,Tăng vốn tại công ty con bằng tiền,-,-,-,-,-,-,-,-,322.770,322.770,,,,,,,,,322770.0,322770.0
Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,-,-,-,-,-,-,-,(4.336),-,(4.336),,,,,,,,-4336.0,,-4336.0
Biến động khác,Biến động khác,Biến động khác,-,-,106,(2.351),(589),(156),-,(14.843),17.854,21,,,106.0,-2351.0,-589.0,-156.0,,-14843.0,17854.0,21.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,537,64.414,709,-,65.660,,,,,,537.0,64414.0,709.0,,65660.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,80.549.999,1.304.334,2.111.211,11.513.914,6.972.588,904.382,202.211,32.577.391,5.886.495,142.022.525,80549999.0,1304334.0,2111211.0,11513914.0,6972588.0,904382.0,202211.0,32577391.0,5886495.0,142022525.0
