row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thăng dư vốn cổ phần triệu đồng,Vốn khác triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ khác triệu đồng,Chênh lệch tỷ giá hối đoái triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thăng dư vốn cổ phần triệu đồng,numeric__Vốn khác triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Chênh lệch tỷ giá hối đoái triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,52.140.841,869.327,1.928.258,7.299.936,4.076.438,817.557,45.939,25.559.753,3.973.110,96.711.159,52140841.0,869327.0,1928258.0,7299936.0,4076438.0,817557.0,45939.0,25559753.0,3973110.0,96711159.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,22.633.757,317.507,22.951.264,,,,,,,,22633757.0,317507.0,22951264.0
Tăng vốn từ phát hành cổ phiếu trong năm,Tăng vốn từ phát hành cổ phiếu trong năm,Tăng vốn từ phát hành cổ phiếu trong năm,922.400,435.007,-,-,-,-,-,-,-,1.357.407,922400.0,435007.0,,,,,,,,1357407.0
Trích lập các quỹ thuộc vốn chủ sở hữu trong năm,Trích lập các quỹ thuộc vốn chủ sở hữu trong năm,Trích lập các quỹ thuộc vốn chủ sở hữu trong năm,-,-,-,1.995.048,1.008.564,498.558,-,(3.502.170),-,-,,,,1995048.0,1008564.0,498558.0,,-3502170.0,,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,-,-,(1.663.858),(20.960),(1.684.818),,,,,,,,-1663858.0,-20960.0,-1684818.0
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(348.289),-,-,-,(348.289),,,,,,-348289.0,,,,-348289.0
Chia cổ tức trong năm bằng tiền Điều chỉnh do thay đổi tỷ lệ sở hữu tại Công ty con,Chia cổ tức trong năm bằng tiền Điều chỉnh do thay đổi tỷ lệ sở hữu tại Công ty con,Chia cổ tức trong năm bằng tiền Điều chỉnh do thay đổi tỷ lệ sở hữu tại Công ty con,-,-,-,-,-,-,-,(2.643.542),(162.709),(2.806.251),,,,,,,,-2643542.0,-162709.0,-2806251.0
Điều chỉnh quỹ trong năm theo nghị quyết HĐTV tại Công ty con,Điều chỉnh quỹ trong năm theo nghị quyết HĐTV tại Công ty con,Điều chỉnh quỹ trong năm theo nghị quyết HĐTV tại Công ty con,-,-,-,(828),-,(55),-,(3.708),807.629,803.038,,,,-828.0,,-55.0,,-3708.0,807629.0,803038.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,(350.000),-,-,350.000,-,-,,,,,-350000.0,,,350000.0,,
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,(8.986),(3.697),(12.683),,,,,,,,-8986.0,-3697.0,-12683.0
,,,,,,,,(82),91.858,(3.022),-,88.754,,,,,,-82.0,91858.0,-3022.0,,88754.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,53.063.241,1.304.334,1.928.258,9.294.156,4.735.002,967.689,137.797,40.718.224,4.910.880,117.059.581,53063241.0,1304334.0,1928258.0,9294156.0,4735002.0,967689.0,137797.0,40718224.0,4910880.0,117059581.0
