row_label_raw,row_label_full,Số dư đầu năm > Trích lập trong năm (Thuyết minh 35),Năm 2025 triệu đồng > 5.866 > 2.992,Năm 2024 triệu đồng > 5.427 > 150,numeric__Năm 2025 triệu đồng > 5.866 > 2.992,numeric__Năm 2024 triệu đồng > 5.427 > 150
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,238,289,238.0,289.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,9.096,5.866,9096.0,5866.0
