row_label_raw,row_label_full,Họ và tên,Chức vụ,2022Triệu đồng,2021Triệu đồng,numeric__Chức vụ,numeric__2022Triệu đồng,numeric__2021Triệu đồng
Ông Kim Byoungho,Ông Kim Byoungho,Ông Kim Byoungho,"Chủ tịch, Thành viên độc lập(từ ngày 29.4.2022)",1.350,-,,1350.0,
Bà Lê Thị Băng Tâm,Bà Lê Thị Băng Tâm,Bà Lê Thị Băng Tâm,Chủ tịch (đến trước ngày 29.4.2022),474,2.329,,474.0,2329.0
Bà Nguyễn Thị Phương Thảo,Bà Nguyễn Thị Phương Thảo,Bà Nguyễn Thị Phương Thảo,Phó Chủ tịch thường trực,1.879,2.438,,1879.0,2438.0
Ông Lưu Đức Khánh,Ông Lưu Đức Khánh,Ông Lưu Đức Khánh,Phó Chủ tịch,3,501,,3.0,501.0
Ông Nguyễn Thành Đô,Ông Nguyễn Thành Đô,Ông Nguyễn Thành Đô,Phó Chủ tịch,1.346,1.284,,1346.0,1284.0
Ông Nguyễn Hữu Đăng,Ông Nguyễn Hữu Đăng,Ông Nguyễn Hữu Đăng,Phó Chủ tịch,1.579,1.873,,1579.0,1873.0
Bà Nguyễn Thị Tâm,Bà Nguyễn Thị Tâm,Bà Nguyễn Thị Tâm,Thành viên,855,1.074,,855.0,1074.0
Ông Lê Mạnh Dũng,Ông Lê Mạnh Dũng,Ông Lê Mạnh Dũng,Thành viên độc lập (từ ngày 29.4.2022),646,-,,646.0,
Ông Chu Việt Cường,Ông Chu Việt Cường,Ông Chu Việt Cường,Thành viên (đến trước ngày 29.4.2022),205,853,,205.0,853.0
Ông Lim Peng Khoon,Ông Lim Peng Khoon,Ông Lim Peng Khoon,Thành viên (đến trước ngày 29.4.2022),71,550,,71.0,550.0
,,,,8.408,10.902,,8408.0,10902.0
