row_label_raw,row_label_full,col_0,31.12.2022Triệu đồng,31.12.2021Triệu đồng,numeric__31.12.2022Triệu đồng,numeric__31.12.2021Triệu đồng
"Hoạt động làm thuê các công việc trong các hộ gia đình,sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùngcủa hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình,sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùngcủa hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình,sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùngcủa hộ gia đình",95.430.258,68.777.767,95430258.0,68777767.0
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",26.016.502,18.826.737,26016502.0,18826737.0
"Sản xuất và gia công, chế biến","Sản xuất và gia công, chế biến","Sản xuất và gia công, chế biến",29.121.078,20.336.302,29121078.0,20336302.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,20.969.929,18.913.515,20969929.0,18913515.0
Xây dựng,Xây dựng,Xây dựng,16.842.962,13.069.419,16842962.0,13069419.0
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nướcvà điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nướcvà điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nướcvà điều hòa không khí",15.443.604,14.467.890,15443604.0,14467890.0
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy vàđộng cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy vàđộng cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy vàđộng cơ khác",12.185.185,10.196.172,12185185.0,10196172.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,5.101.910,5.343.499,5101910.0,5343499.0
"Vận tải, kho bãi","Vận tải, kho bãi","Vận tải, kho bãi",4.320.943,3.359.254,4320943.0,3359254.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",3.245.148,1.437.963,3245148.0,1437963.0
Khác,Khác,Khác,35.178.864,28.482.383,35178864.0,28482383.0
,,,263.856.383,203.210.901,263856383.0,203210901.0
