row_label_raw,row_label_full,col_0,Dự phòng chungTriệu đồng,Dự phòng giảm giáTriệu đồng,Tổng cộngTriệu đồng,numeric__Dự phòng chungTriệu đồng,numeric__Dự phòng giảm giáTriệu đồng,numeric__Tổng cộngTriệu đồng
Tại ngày 1 tháng 1 năm 2021(Hoàn nhập)/trích lập trong năm,Tại ngày 1 tháng 1 năm 2021(Hoàn nhập)/trích lập trong năm,Tại ngày 1 tháng 1 năm 2021(Hoàn nhập)/trích lập trong năm,83.878(8.142),3.70119.166,87.57911.024,,370119166.0,8757911024.0
Tại ngày 31 tháng 12 năm 2021Hoàn nhập trong năm,Tại ngày 31 tháng 12 năm 2021Hoàn nhập trong năm,Tại ngày 31 tháng 12 năm 2021Hoàn nhập trong năm,75.736(45.732),22.867(22.867),98.603(68.599),,,
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2021Hoàn nhập trong năm > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,30.004,-,30.004,30004.0,,30004.0
