row_label_raw,row_label_full,col_0,Quyền sử dụng đấtcó thời hạnTriệu đồng,Quyền sử dụng đấtkhông thời hạnTriệu đồng,Phần mềmvi tínhTriệu đồng,TSCĐvô hình khácTriệu đồng,TổngcộngTriệu đồng,numeric__Quyền sử dụng đấtcó thời hạnTriệu đồng,numeric__Quyền sử dụng đấtkhông thời hạnTriệu đồng,numeric__Phần mềmvi tínhTriệu đồng,numeric__TSCĐvô hình khácTriệu đồng,numeric__TổngcộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,109.626,527.420,333.129,7.313,977.488,109626.0,527420.0,333129.0,7313.0,977488.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,18.989,24.801,-,43.790,,18989.0,24801.0,,43790.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(15.005),-,-,(15.005),,-15005.0,,,-15005.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,109.626,531.404,357.930,7.313,1.006.273,109626.0,531404.0,357930.0,7313.0,1006273.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,10.231,-,260.501,3.909,274.641,10231.0,,260501.0,3909.0,274641.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.097,-,45.470,629,48.196,2097.0,,45470.0,629.0,48196.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,12.328,-,305.971,4.538,322.837,12328.0,,305971.0,4538.0,322837.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,99.395,527.420,72.628,3.404,702.847,99395.0,527420.0,72628.0,3404.0,702847.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,97.298,531.404,51.959,2.775,683.436,97298.0,531404.0,51959.0,2775.0,683436.0
