row_label_raw,row_label_full,col_0,VND,USD,EUR,Vàng,Khác,Tổng cộng,numeric__VND,numeric__USD,numeric__EUR,numeric__Vàng,numeric__Khác,numeric__Tổng cộng
Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.694.247,406.458,57.994,20.120,266.792,2.445.611,1694247.0,406458.0,57994.0,20120.0,266792.0,2445611.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,8.324.624,3.518.800,4.556,-,-,11.847.980,8324624.0,3518800.0,4556.0,,,11847980.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,43.669.965,11.713.689,76.792,-,482.198,55.942.644,43669965.0,11713689.0,76792.0,,482198.0,55942644.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),11.200.948,-,-,-,-,11.200.948,11200948.0,,,,,11200948.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),190.200.467,12.939.028,-,-,71.406,203.210.901,190200467.0,12939028.0,,,71406.0,203210901.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),65.612.028,-,-,-,-,65.612.028,65612028.0,,,,,65612028.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",144.421,-,-,-,-,144.421,144421.0,,,,,144421.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,1.366.325,-,-,-,-,1.366.325,1366325.0,,,,,1366325.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),19.738.373,5.667.638,34.698,-,17.406,25.458.115,19738373.0,5667638.0,34698.0,,17406.0,25458115.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,341.951.398,34.245.613,174.040,20.120,837.802,377.228.973,341951398.0,34245613.0,174040.0,20120.0,837802.0,377228973.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,92.656,-,-,-,-,92.656,92656.0,,,,,92656.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,85.253.785,21.345.289,34.582,-,608.926,107.242.582,85253785.0,21345289.0,34582.0,,608926.0,107242582.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,179.976.967,3.060.848,88.652,-,156.650,183.283.117,179976967.0,3060848.0,88652.0,,156650.0,183283117.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,18.942,12.374,51.692,-,(67.458),15.550,18942.0,12374.0,51692.0,,-67458.0,15550.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,2.865.458,-,-,71.406,2.936.864,,2865458.0,,,71406.0,2936864.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,35.313.613,7.442.500,-,-,-,42.756.113,35313613.0,7442500.0,,,,42756113.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,7.323.938,164.200,145,305,5.988,7.494.576,7323938.0,164200.0,145.0,305.0,5988.0,7494576.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,307.979.901,34.890.669,175.071,305,775.512,343.821.458,307979901.0,34890669.0,175071.0,305.0,775512.0,343821458.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,33.971.497,(645.056),(1.031),19.815,62.290,33.407.515,33971497.0,-645056.0,-1031.0,19815.0,62290.0,33407515.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,1.032.132,-,-,(47.323),984.809,,1032132.0,,,-47323.0,984809.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",33.971.497,387.076,(1.031),19.815,14.967,34.392.324,33971497.0,387076.0,-1031.0,19815.0,14967.0,34392324.0
