row_label_raw,row_label_full,col_0,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022Triệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021Triệu đồng,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022Triệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021Triệu đồng
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,,32.577.872,,,32577872.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,Chi phí lãi và các chi phí tương tự đã trả,,(14.319.631),,,-14319631.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Thu nhập từ hoạt động dịch vụ nhận được,,2.792.794,,,2792794.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,"Chênh lệch số tiền thực thu từ hoạt động kinh doanh (ngoại tệ, vàng bạc và chứng khoán)",,225.515,,,225515.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Thu nhập khác,,111.209,,,111209.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,"Tiền thu các khoản nợ đã được xử lý, bù đắp bằng nguồn dự phòng rủi ro",,437.234,,,437234.0
07,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",,(8.668.312),,,-8668312.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Tiền thuế TNDN thực nộp trong năm,34,(1.154.553),,34.0,-1154553.0
LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỐI VỀ TÀI SẢN VÀ VỐN LU'U ĐỘNG,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỐI VỀ TÀI SẢN VÀ VỐN LU'U ĐỘNG,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỐI VỀ TÀI SẢN VÀ VỐN LU'U ĐỘNG,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỐI VỀ TÀI SẢN VÀ VỐN LU'U ĐỘNG,12.002.128,8.835.844,,12002128.0,8835844.0
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09,Những thay đổi về tài sản hoạt động > 09,09,Tăng các khoản tiền gửi và cho vay các TCTD khác,,(8.704.484),,,-8704484.0
10,Những thay đổi về tài sản hoạt động > 10,10,Giảm/(tăng) các khoản về kinh doanh chứng khoán,,26.010.304,,,26010304.0
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng,,(60.645.482),,,-60645482.0
13,Những thay đổi về tài sản hoạt động > 13,13,"Giảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đắp tổn thất các khoản",,(2.418.835),,,-2418835.0
14,Những thay đổi về tài sản hoạt động > 14,14,Tăng khác về tài sản hoạt động,,(13.057.913),,,-13057913.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng/(giảm) các khoản nợ Chính phủ và NHNN,,10.728.602,,,10728602.0
16,Những thay đổi về công nợ hoạt động > 16,16,(Giảm)/tăng các khoản tiền gửi và vay các TCTD khác,,(14.589.382),,,-14589382.0
