row_label_raw,row_label_full,col_0,31.12.2022%,31.12.2021%,numeric__31.12.2022%,numeric__31.12.2021%
Tiền gửi không kỳ hạn VND,Tiền gửi không kỳ hạn VND,Tiền gửi không kỳ hạn VND,"0,00 - 1,00","0,00 - 0,20",,
Tiền gửi không kỳ hạn ngoại tệ,Tiền gửi không kỳ hạn ngoại tệ,Tiền gửi không kỳ hạn ngoại tệ,"0,00 - 0,20","0,00 - 0,20",,
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"0,60 - 11,20","0,00 - 9,00",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng VND > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"0,00","0,00",0.0,0.0
Tiền gửi tiết kiệm bằng VND,Tiền gửi tiết kiệm bằng VND,Tiền gửi tiết kiệm bằng VND,"0,00 - 11,20","0,00 - 9,00",,
Tiền gửi tiết kiệm bằng ngoại tệ,Tiền gửi tiết kiệm bằng ngoại tệ,Tiền gửi tiết kiệm bằng ngoại tệ,"0,00 - 1,90","0,00 - 1,80",,
Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,"0,01 - 8,50","0,00 - 7,00",,
Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,"0,00 - 0,20","0,00 - 0,20",,
Tiền gửi vốn chuyên dụng bằng VND,Tiền gửi vốn chuyên dụng bằng VND,Tiền gửi vốn chuyên dụng bằng VND,"0,06 - 1,00","0,00 - 0,20",,
Tiền gửi vốn chuyên dụng bằng ngoại tệ,Tiền gửi vốn chuyên dụng bằng ngoại tệ,Tiền gửi vốn chuyên dụng bằng ngoại tệ,"0,00 - 0,10","0,00 - 0,20",,
