row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2022 Triệu đồng,Tại ngày 31 tháng 12 năm > 2021 Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2022 Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2021 Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,13,10.821.258,92.656,,13.0,10821258.0,92656.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,10.821.258,92.656,,,10821258.0,92656.0
II,B > II,II,Tiền gửi và vay các TCTD khác,,92.653.200,107.242.582,,,92653200.0,107242582.0
1,B > 1,1,Tiền gửi của các TCTD khác,14.1,49.440.640,59.851.704,,141.0,49440640.0,59851704.0
2,B > 2,2,Vay các TCTD khác,14.2,43.212.560,47.390.878,,142.0,43212560.0,47390878.0
III,B > III,III,Tiền gửi của khách hàng,15,215.797.174,183.283.117,,15.0,215797174.0,183283117.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,7,226.480,15.550,,7.0,226480.0,15550.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",16,2.860.155,2.936.864,,16.0,2860155.0,2936864.0
VI,B > VI,VI,Phát hành giấy tờ có giá,17,44.161.640,42.756.113,,17.0,44161640.0,42756113.0
VII,B > VII,VII,Các khoản nợ khác,18,10.758.230,7.494.576,,18.0,10758230.0,7494576.0
1,B > 1,1,"Các khoản lãi, phí phải trả",18.1,5.052.933,4.383.088,,181.0,5052933.0,4383088.0
2,B > 2,2,Thuế TNDN hoãn lại phải trả,,-,602,,,,602.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18.2,5.705.297,3.110.886,,182.0,5705297.0,3110886.0
,,,TỔNG NỘ PHẢI TRẢ,,377.278.137,343.821.458,,,377278137.0,343821458.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,19,38.994.886,30.790.113,,19.0,38994886.0,30790113.0
1,B > 1,1,Vốn của TCTD,,25.426.026,20.195.503,,,25426026.0,20195503.0
a,B > a,a,Vốn điều lệ,,25.303.429,20.072.906,,,25303429.0,20072906.0
b,B > b,b,Vốn đầu tư xây dựng cơ bản,,89,89,,,89.0,89.0
c,B > c,c,Thặng dư vốn cổ phần,,535.956,535.956,,,535956.0,535956.0
d,B > d,d,Cổ phiếu quỹ,,(413.448),(413.448),,,-413448.0,-413448.0
2,B > 2,2,Quỹ của TCTD,,3.527.727,2.547.465,,,3527727.0,2547465.0
5,B > 5,5,Lợi nhuận chưa phân phối,,7.999.785,6.290.473,,,7999785.0,6290473.0
6,B > 6,6,Lợi ích cổ đông không kiểm soát,,2.041.348,1.756.672,,,2041348.0,1756672.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,38.994.886,30.790.113,,,38994886.0,30790113.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,416.273.023,374.611.571,,,416273023.0,374611571.0
