row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2022Triệu đồng,Tại ngày 31 tháng 12 năm > 2021Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2022Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2021Triệu đồng
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,2.937.994,2.445.611,,3.0,2937994.0,2445611.0
II,A > II,II,Tiền gửi tại NHNN,4,11.273.345,11.847.980,,4.0,11273345.0,11847980.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",,49.132.317,55.942.644,,,49132317.0,55942644.0
1,A > 1,1,Tiền gửi tại các TCTD khác,5.1,40.322.487,55.837.298,,51.0,40322487.0,55837298.0
2,A > 2,2,Cho vay các TCTD khác,5.2,8.809.830,105.346,,52.0,8809830.0,105346.0
IV,A > IV,IV,Chứng khoán kinh doanh,,1.797.822,11.198.067,,,1797822.0,11198067.0
1,A > 1,1,Chứng khoán kinh doanh,6.1,1.797.822,11.200.948,,61.0,1797822.0,11200948.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,6.2,-,(2.881),,62.0,,-2881.0
VI,A > VI,VI,Cho vay khách hàng,8,260.754.811,200.758.833,,8.0,260754811.0,200758833.0
1,A > 1,1,Cho vay khách hàng,,263.856.383,203.210.901,,,263856383.0,203210901.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,,(3.101.572),(2.452.068),,,-3101572.0,-2452068.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,48.789.184,65.513.425,,,48789184.0,65513425.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,9.1,35.375.058,43.656.434,,91.0,35375058.0,43656434.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,9.2,13.444.130,21.955.594,,92.0,13444130.0,21955594.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,9.6,(30.004),(98.603),,96.0,-30004.0,-98603.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",10,144.023,123.831,,10.0,144023.0,123831.0
4,A > 4,4,Đầu tư dài hạn khác,,163.921,144.421,,,163921.0,144421.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(19.898),(20.590),,,-19898.0,-20590.0
X,A > X,X,Tài sản cố định,,1.315.057,1.366.325,,,1315057.0,1366325.0
1,A > 1,1,Tài sản cố định hữu hình,11.1,631.621,663.478,,111.0,631621.0,663478.0
a,A > a,a,Nguyên giá,,1.519.411,1.475.070,,,1519411.0,1475070.0
b,A > b,b,Giá trị khấu hao lũy kế,,(887.790),(811.592),,,-887790.0,-811592.0
3,A > 3,3,Tài sản cố định vô hình,11.2,683.436,702.847,,112.0,683436.0,702847.0
a,A > a,a,Nguyên giá,,1.006.273,977.488,,,1006273.0,977488.0
b,A > b,b,Giá trị khấu hao lũy kế,,(322.837),(274.641),,,-322837.0,-274641.0
XII,A > XII,XII,Tài sản Có khác,,40.128.470,25.414.855,,,40128470.0,25414855.0
1,A > 1,1,Các khoản phải thu,12.1,33.406.609,20.234.815,,121.0,33406609.0,20234815.0
2,A > 2,2,"Các khoản lãi, phí phải thu",12.2,4.403.501,3.256.425,,122.0,4403501.0,3256425.0
3,A > 3,3,"Tài sản thuế thu nhập doanh nghiệp (""TNDN"") hoãn lại",,32.798,-,,,32798.0,
4,A > 4,4,Tài sản Có khác,12.3,2.331.870,1.966.875,,123.0,2331870.0,1966875.0
,,,- Trong đó: Lợi thế thương mại,12.4,4.799,10.562,,124.0,4799.0,10562.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(46.308),(43.260),,,-46308.0,-43260.0
,,,TỔNG TÀI SẢN,,416.273.023,374.611.571,,,416273023.0,374611571.0
