row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị, dụng cụquản lýTriệu đồng",TSCĐ hữuhình khácTriệu đồng,TổngcộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị, dụng cụquản lýTriệu đồng",numeric__TSCĐ hữuhình khácTriệu đồng,numeric__TổngcộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,484.830,280.131,345.339,350.262,14.508,1.475.070,484830.0,280131.0,345339.0,350262.0,14508.0,1475070.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,12.897,36.131,20.512,8.372,300,78.212,12897.0,36131.0,20512.0,8372.0,300.0,78212.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(14.423),(798),(14.489),(1.773),-,(31.483),-14423.0,-798.0,-14489.0,-1773.0,,-31483.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,(2.353),(35),-,(2.388),,,-2353.0,-35.0,,-2388.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,483.304,315.464,349.009,356.826,14.808,1.519.411,483304.0,315464.0,349009.0,356826.0,14808.0,1519411.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,137.315,154.095,217.206,292.024,10.952,811.592,137315.0,154095.0,217206.0,292024.0,10952.0,811592.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,18.870,25.394,36.912,22.224,1.141,104.541,18870.0,25394.0,36912.0,22224.0,1141.0,104541.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(9.623),(792),(14.488),(1.730),-,(26.633),-9623.0,-792.0,-14488.0,-1730.0,,-26633.0
Giảm khác,Giá trị khấu hao lũy kế > Giảm khác,Giảm khác,-,-,(1.675),(35),-,(1.710),,,-1675.0,-35.0,,-1710.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,146.562,178.697,237.955,312.483,12.093,887.790,146562.0,178697.0,237955.0,312483.0,12093.0,887790.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,347.515,126.036,128.133,58.238,3.556,663.478,347515.0,126036.0,128133.0,58238.0,3556.0,663478.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,336.742,136.767,111.054,44.343,2.715,631.621,336742.0,136767.0,111054.0,44343.0,2715.0,631621.0
