row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2021,Quá hạn > Ngày 31 tháng 12 năm 2021,Không chịu lãi suất > Ngày 31 tháng 12 năm 2021,Dưới 1 tháng > Ngày 31 tháng 12 năm 2021,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2021,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2021,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2021,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2021,Trên 5 năm > Ngày 31 tháng 12 năm 2021,Tổng cộng > Ngày 31 tháng 12 năm 2021,numeric__Quá hạn > Ngày 31 tháng 12 năm 2021,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2021,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2021,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2021,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2021
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,2.445.611,-,-,-,-,-,-,2.445.611,,2445611.0,,,,,,,2445611.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,11.847.980,-,-,-,-,-,-,11.847.980,,11847980.0,,,,,,,11847980.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,51.069.704,4.872.940,-,-,-,-,55.942.644,,,51069704.0,4872940.0,,,,,55942644.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,11.200.948,-,-,-,-,-,11.200.948,,,11200948.0,,,,,,11200948.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),8.697.570,-,52.828.560,95.605.402,20.630.316,19.986.853,5.427.452,34.748,203.210.901,8697570.0,,52828560.0,95605402.0,20630316.0,19986853.0,5427452.0,34748.0,203210901.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,1.013.973,992.336,1.576.008,7.245.759,15.755.654,17.795.374,21.232.924,65.612.028,,1013973.0,992336.0,1576008.0,7245759.0,15755654.0,17795374.0,21232924.0,65612028.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,144.421,-,-,-,-,-,-,144.421,,144421.0,,,,,,,144421.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,-,1.366.325,-,-,-,-,-,-,1.366.325,,1366325.0,,,,,,,1366325.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),44.907,9.277.637,1.821.401,4.521.362,6.560.082,2.740.726,492.000,-,25.458.115,44907.0,9277637.0,1821401.0,4521362.0,6560082.0,2740726.0,492000.0,,25458115.0
