row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2022Triệu đồng,31.12.2021Triệu đồng,,
Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,,
Tiền gửi và cho vay các TCTD khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,49.132.317,55.942.644,49132317.0,55942644.0
Chứng khoán kinh doanh (Thuyết minh 6.5),Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Chứng khoán kinh doanh (Thuyết minh 6.5),Chứng khoán kinh doanh (Thuyết minh 6.5),1.797.822,8.150.910,1797822.0,8150910.0
Cho vay khách hàng,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Cho vay khách hàng,Cho vay khách hàng,263.856.383,203.210.901,263856383.0,203210901.0
Chứng khoán đầu tư (Thuyết minh 9.5),Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Chứng khoán đầu tư (Thuyết minh 9.5),Chứng khoán đầu tư (Thuyết minh 9.5),20.825.966,34.914.366,20825966.0,34914366.0
Các tài sản tài chính khác (Thuyết minh 12.5),Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Các tài sản tài chính khác (Thuyết minh 12.5),Các tài sản tài chính khác (Thuyết minh 12.5),34.950.411,21.873.068,34950411.0,21873068.0
,,,370.562.899,324.091.889,370562899.0,324091889.0
Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,,
Các hợp đồng bảo lãnh tài chính,Mức rủi ro tín dụng của các khoản mục ngoại bằng: > Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,4.782.622,4.462.919,4782622.0,4462919.0
Các cam kết thư tín dụng,Mức rủi ro tín dụng của các khoản mục ngoại bằng: > Các cam kết thư tín dụng,Các cam kết thư tín dụng,4.322.692,6.605.463,4322692.0,6605463.0
,,,9.105.314,11.068.382,9105314.0,11068382.0
,,,379.668.213,335.160.271,379668213.0,335160271.0
