row_label_raw,row_label_full,col_0,Kinh doanh bất động sản,Kinh doanh hoạt động xây lắp,Sản xuất và kinh doanh điện,Kinh doanh hoạt động cho thuê và các hoạt động khác,Điều chỉnh và loại trừ,Đơn vị tính: VND Tổng cộng,numeric__Kinh doanh bất động sản,numeric__Kinh doanh hoạt động xây lắp,numeric__Sản xuất và kinh doanh điện,numeric__Kinh doanh hoạt động cho thuê và các hoạt động khác,numeric__Điều chỉnh và loại trừ,numeric__Đơn vị tính: VND Tổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu bán hàng nội bộ,Doanh thu > Doanh thu bán hàng nội bộ,Doanh thu bán hàng nội bộ,-,738.688.421.834,-,78.014.013.410,(816.702.435.244),-,,738688421834.0,,78014013410.0,-816702435244.0,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,3.058.781.699.630,831.261.091.678,786.359.998.741,322.174.965.386,-,4.998.577.755.435,3058781699630.0,831261091678.0,786359998741.0,322174965386.0,,4998577755435.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,3.058.781.699.630,1.569.949.513.512,786.359.998.741,400.188.978.796,(816.702.435.244),4.998.577.755.435,3058781699630.0,1569949513512.0,786359998741.0,400188978796.0,-816702435244.0,4998577755435.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,
Lợi nhuận gộp trước thuế của bộ phận,Kết quả > Lợi nhuận gộp trước thuế của bộ phận,Lợi nhuận gộp trước thuế của bộ phận,1.338.634.026.140,185.884.029.491,554.483.509.054,98.998.870.663,(101.555.481.642),2.076.444.953.706,1338634026140.0,185884029491.0,554483509054.0,98998870663.0,-101555481642.0,2076444953706.0
Thu nhập/(chi phí) không phân bổ (i),Kết quả > Thu nhập/(chi phí) không phân bổ (i),Thu nhập/(chi phí) không phân bổ (i),-,-,-,-,(329.967.779.863),(329.967.779.863),,,,,-329967779863.0,-329967779863.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.188.808.424.569,151.821.077.111,525.113.974.841,106.239.502.338,(431.523.261.505),1.540.459.717.354,1188808424569.0,151821077111.0,525113974841.0,106239502338.0,-431523261505.0,1540459717354.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,-,-,-,-,(286.601.385.224),(286.601.385.224),,,,,-286601385224.0,-286601385224.0
Lợi nhuận/(lỗ) thuần sau thuế,Kết quả > Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,1.188.808.424.569,151.821.077.111,525.113.974.841,106.239.502.338,(718.124.646.729),1.253.858.332.130,1188808424569.0,151821077111.0,525113974841.0,106239502338.0,-718124646729.0,1253858332130.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,2.385.891.640.233,339.094.652.132,8.220.332.725.683,1.979.637.248.900,-,12.924.956.266.948,2385891640233.0,339094652132.0,8220332725683.0,1979637248900.0,,12924956266948.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),-,-,-,-,953.691.467.859,953.691.467.859,,,,,953691467859.0,953691467859.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,2.385.891.640.233,339.094.652.132,8.220.332.725.683,1.979.637.248.900,953.691.467.859,13.878.647.734.807,2385891640233.0,339094652132.0,8220332725683.0,1979637248900.0,953691467859.0,13878647734807.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,2.037.688.046.477,251.624.250.243,166.586.854.059,96.864.347.821,-,2.552.763.498.600,2037688046477.0,251624250243.0,166586854059.0,96864347821.0,,2552763498600.0
Công nợ không phân bổ (iii),Tài sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),-,-,-,-,7.348.463.390.351,7.348.463.390.351,,,,,7348463390351.0,7348463390351.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,2.037.688.046.477,251.624.250.243,166.586.854.059,96.864.347.821,7.348.463.390.351,9.901.226.888.951,2037688046477.0,251624250243.0,166586854059.0,96864347821.0,7348463390351.0,9901226888951.0
