row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > Công ty Cổ phần Hà Đô 1,Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > Công ty có chung thành viên HĐQT từ ngày 3 tháng 6 năm 2021,Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > Phải thu cung cấp dịch vụ > Phải thu hoạt động tư vấn,Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > 479.157.471 > 739.793.735,Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > -,numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > Công ty có chung thành viên HĐQT từ ngày 3 tháng 6 năm 2021,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > Phải thu cung cấp dịch vụ > Phải thu hoạt động tư vấn,numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > 479.157.471 > 739.793.735,numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1) > -
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Phải thu hoạt động tư vấn,-,2.911.043.855,,,,2911043855.0
Cá nhân,Cá nhân,Cá nhân,Bên liên quan khác,Phải thu chuyển nhượng bất động sản,468.623.000,,,,468623000.0,
