row_label_raw,row_label_full,Bên liên quan > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2)
Các cá nhân,Các cá nhân,Các cá nhân,Bên liên quan khác,Trả trước tiền mua bất động sản,16.443.525.000,2.780.000.000,,,16443525000.0,2780000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,16.443.525.000,2.780.000.000,,,16443525000.0,2780000000.0
Chi phí phải trả dài hạn (Thuyết minh số 21),Chi phí phải trả dài hạn (Thuyết minh số 21),Chi phí phải trả dài hạn (Thuyết minh số 21),Chi phí phải trả dài hạn (Thuyết minh số 21),Chi phí phải trả dài hạn (Thuyết minh số 21),Chi phí phải trả dài hạn (Thuyết minh số 21),Chi phí phải trả dài hạn (Thuyết minh số 21),,,,
Công ty Cổ phần Đầu tư IP Việt Nam,Chi phí phải trả dài hạn (Thuyết minh số 21) > Công ty Cổ phần Đầu tư IP Việt Nam,Công ty Cổ phần Đầu tư IP Việt Nam,Công ty có chung thành viên HĐQT,Phải trả lãi vay,-,1.974.230.137,,,,1974230137.0
Ông Nguyễn Trọng Minh,Chi phí phải trả dài hạn (Thuyết minh số 21) > Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Phó Tổng Giám đốc,Phải trả lãi vay,-,216.986.301,,,,216986301.0
Công ty Cổ phần Đầu tư An Lạc,Chi phí phải trả dài hạn (Thuyết minh số 21) > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Phải trả lãi vay,4.112.876.712,-,,,4112876712.0,
TỔNG CỘNG,Chi phí phải trả dài hạn (Thuyết minh số 21) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.112.876.712,2.191.216.438,,,4112876712.0,2191216438.0
Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),,,,
Công ty Cổ phần Đầu tư An Lạc,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Cổ tức phải trả Phải trả khác,17.642.520.938148.244.000,-,,,1.7642520938148243e+19,
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 22) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,17.790.764.938,-,,,17790764938.0,
