row_label_raw,row_label_full,Năm trước > Số đầu năm,Vốn cổ phần đã phát hành > 1.186.812.890.000,Thặng dư vốn cổ phần > (171.550.000),Cổ phiếu quỹ > (326.270.000),Chênh lệch tỷ giá hối đoái > (17.806.509.772),Quỹ đầu tư phát triển > 51.211.243.573,Vốn khác của chủ sở hữu > 105.877.949.364,Lợi nhuận sau thuế chưa phân phối > 1.102.134.943.584,Lợi ích của cổ đông không kiểm soát > 848.199.070.717,Đơn vị tính: VND Tổng công > 3.275.931.767.466,numeric__Vốn cổ phần đã phát hành > 1.186.812.890.000,numeric__Thặng dư vốn cổ phần > (171.550.000),numeric__Cổ phiếu quỹ > (326.270.000),numeric__Chênh lệch tỷ giá hối đoái > (17.806.509.772),numeric__Quỹ đầu tư phát triển > 51.211.243.573,numeric__Vốn khác của chủ sở hữu > 105.877.949.364,numeric__Lợi nhuận sau thuế chưa phân phối > 1.102.134.943.584,numeric__Lợi ích của cổ đông không kiểm soát > 848.199.070.717,numeric__Đơn vị tính: VND Tổng công > 3.275.931.767.466
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,355.937.290.000,-,-,-,-,-,(355.937.290.000),-,-,355937290000.0,,,,,,-355937290000.0,,
- Tạm ứng cổ tức,- Tạm ứng cổ tức,- Tạm ứng cổ tức,-,-,-,-,-,-,(154.275.018.000),-,(154.275.018.000),,,,,,,-154275018000.0,,-154275018000.0
- Chia cổ tức bằng cổ phiếu tại các công ty con,- Chia cổ tức bằng cổ phiếu tại các công ty con,- Chia cổ tức bằng cổ phiếu tại các công ty con,,,,,,,,,,,,,,,,,,
- Tăng vốn trong công ty con hiện hữu,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Tăng vốn trong công ty con hiện hữu,- Tăng vốn trong công ty con hiện hữu,,,,,,66.194.835.450,(66.194.835.450),-,-,,,,,,66194835450.0,-66194835450.0,,
- Tài phát hành cổ phiếu quỹ,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Tài phát hành cổ phiếu quỹ,- Tài phát hành cổ phiếu quỹ,-,-,-,-,-,-,(18.141.666),3.640.341.666,3.622.200.000,,,,,,,-18141666.0,3640341666.0,3622200000.0
- Lợi nhuận thuần trong năm,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,559.542.000,326.270.000,-,-,-,-,-,885.812.000,,559542000.0,326270000.0,,,,,,885812000.0
- Chênh lệch tỷ giá hối đoái do việc quy đổi các hoạt động ở nước ngoài,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Chênh lệch tỷ giá hối đoái do việc quy đổi các hoạt động ở nước ngoài,- Chênh lệch tỷ giá hối đoái do việc quy đổi các hoạt động ở nước ngoài,,,-,-,-,-,979.141.709.319,274.716.622.811,1.253.858.332.130,,,,,,,979141709319.0,274716622811.0,1253858332130.0
- Chia cổ tức tại các công ty con,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Chia cổ tức tại các công ty con,- Chia cổ tức tại các công ty con,,,,(22.012.366.350),,-,-,-,(22.012.366.350),,,,-22012366350.0,,,,,-22012366350.0
- Ănh hưởng do giảm tỷ lệ lợi ích trong công ty con,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Ănh hưởng do giảm tỷ lệ lợi ích trong công ty con,- Ănh hưởng do giảm tỷ lệ lợi ích trong công ty con,-,-,-,-,-,-,-,(177.708.732.500),(177.708.732.500),,,,,,,,-177708732500.0,-177708732500.0
- Chuyển nhượng một phần lợi ích cho cổ đông không kiểm soát,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Chuyển nhượng một phần lợi ích cho cổ đông không kiểm soát,- Chuyển nhượng một phần lợi ích cho cổ đông không kiểm soát,-,-,-,-,-,-,(209.867.231.053),1.056.051.618,(208.811.179.435),,,,,,,-209867231053.0,1056051618.0,-208811179435.0
- Chuyển nhượng công ty con,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Chuyển nhượng công ty con,- Chuyển nhượng công ty con,-,-,-,-,-,-,77.705.631,(77.705.631),-,,,,,,,77705631.0,-77705631.0,
- Thủ lao HĐQT,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Thủ lao HĐQT,- Thủ lao HĐQT,-,-,-,-,-,(10.501.940.000),10.501.940.000,11.865.307.388,11.865.307.388,,,,,,-10501940000.0,10501940000.0,11865307388.0,11865307388.0
- Chi khen thưởng,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Chi khen thưởng,- Chi khen thưởng,-,-,-,-,-,-,(3.390.251.221),(639.587.050),(4.029.838.271),,,,,,,-3390251221.0,-639587050.0,-4029838271.0
- Điều chỉnh thuế TNDN năm trước,- Chia cổ tức bằng cổ phiếu tại các công ty con > - Điều chỉnh thuế TNDN năm trước,- Điều chỉnh thuế TNDN năm trước,-,-,-,-,-,-,(1.100.311.450),(135.993.550),(1.236.305.000),,,,,,,-1100311450.0,-135993550.0,-1236305000.0
Số cuối năm,- Chia cổ tức bằng cổ phiếu tại các công ty con > Số cuối năm,Số cuối năm,1.542.750.180.000,387.992.000,-,(39.818.876.122),51.211.243.573,161.570.844.814,1.300.731.894.659,960.587.566.932,3.977.420.845.856,1542750180000.0,387992000.0,,-39818876122.0,51211243573.0,161570844814.0,1300731894659.0,960587566932.0,3977420845856.0
