row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,Giá gốc,Dự phòng,,,,
Bắt động sản xây dựng để bán,Ngắn hạn > Bắt động sản xây dựng để bán,Bắt động sản xây dựng để bán,1.321.274.979.956,-,1.655.157.735.652,-,1321274979956.0,,1655157735652.0,
- Dự án An Khánh - An Thương,Ngắn hạn > - Dự án An Khánh - An Thương,- Dự án An Khánh - An Thương,655.999.949.577,-,448.701.165.430,-,655999949577.0,,448701165430.0,
- Dự án Hà Đô Green Lane,Ngắn hạn > - Dự án Hà Đô Green Lane,- Dự án Hà Đô Green Lane,292.644.720.459,-,292.367.717.918,-,292644720459.0,,292367717918.0,
"- Dự án Khu đô thị mới Noongtha, Viên Chăn, Lào","Ngắn hạn > - Dự án Khu đô thị mới Noongtha, Viên Chăn, Lào","- Dự án Khu đô thị mới Noongtha, Viên Chăn, Lào",257.061.204.049,-,278.474.294.354,-,257061204049.0,,278474294354.0,
- Dự án Sư Van Hạnh,Ngắn hạn > - Dự án Sư Van Hạnh,- Dự án Sư Van Hạnh,42.935.763.017,-,42.788.602.970,-,42935763017.0,,42788602970.0,
- Dự án Chung cư CC1 Dịch Vọng,Ngắn hạn > - Dự án Chung cư CC1 Dịch Vọng,- Dự án Chung cư CC1 Dịch Vọng,41.481.993.854,-,41.481.993.854,-,41481993854.0,,41481993854.0,
- Dự án Hà Đô Centrosa Garden,Ngắn hạn > - Dự án Hà Đô Centrosa Garden,- Dự án Hà Đô Centrosa Garden,-,-,525.693.395.770,-,,,525693395770.0,
- Các dự án khác,Ngắn hạn > - Các dự án khác,- Các dự án khác,31.151.349.000,-,25.650.565.356,-,31151349000.0,,25650565356.0,
Chi phí sản xuất kinh doanh dở dang,Ngắn hạn > Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,6.200.362.964,-,68.627.906.416,-,6200362964.0,,68627906416.0,
Thành phẩm bất động sản,Ngắn hạn > Thành phẩm bất động sản,Thành phẩm bất động sản,11.088.888.738,-,-,-,11088888738.0,,,
Hàng hóa bất động sản,Ngắn hạn > Hàng hóa bất động sản,Hàng hóa bất động sản,24.976.048.000,-,24.976.048.000,-,24976048000.0,,24976048000.0,
Hàng tồn kho khác,Ngắn hạn > Hàng tồn kho khác,Hàng tồn kho khác,1.107.248.420,-,7.817.646.756,-,1107248420.0,,7817646756.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.364.647.528.078,-,1.756.579.336.824,-,1364647528078.0,,1756579336824.0,
Dài hạn,Dài hạn,Dài hạn,,,,,,,,
Bắt động sản xây dựng để bán,Bắt động sản xây dựng để bán,Bắt động sản xây dựng để bán,,,,,,,,
- Dự án Biệt thự Bảo Đại,Bắt động sản xây dựng để bán > - Dự án Biệt thự Bảo Đại,- Dự án Biệt thự Bảo Đại,36.422.393.378,-,31.425.891.587,-,36422393378.0,,31425891587.0,
TỔNG CỘNG,Bắt động sản xây dựng để bán > TỔNG CỘNG,TỔNG CỘNG,36.422.393.378,-,31.425.891.587,-,36422393378.0,,31425891587.0,
