row_label_raw,row_label_full,Cá nhân,Bên liên quan khác,Tạm ứng,65.267.220.000,-,numeric__Bên liên quan khác,numeric__Tạm ứng,numeric__65.267.220.000,numeric__-
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Lãi cho vay phải thu,-,21.440.976.000,,,,21440976000.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty có chung thành viên HĐQT đến 31 tháng 12 năm 2020,Lãi cho vay phải thu,-,12.997.674.000,,,,12997674000.0
