row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất > Số cuối năm,Bảng cân đối kế toán hợp nhất > Số đầu năm,Đơn vị tính: VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm nay,Đơn vị tính: VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm trước,numeric__Bảng cân đối kế toán hợp nhất > Số cuối năm,numeric__Bảng cân đối kế toán hợp nhất > Số đầu năm,numeric__Đơn vị tính: VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm nay,numeric__Đơn vị tính: VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm trước
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chênh lệch tạm thời liên quan lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời liên quan lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Chênh lệch tạm thời liên quan lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,51.092.969.740,25.884.663.935,25.208.305.805,(732.039.047),51092969740.0,25884663935.0,25208305805.0,-732039047.0
Chi phí hỗ trợ hoa hồng môi giới cho các căn chưa bàn giao,Tài sản thuế thu nhập hoãn lại > Chi phí hỗ trợ hoa hồng môi giới cho các căn chưa bàn giao,Chi phí hỗ trợ hoa hồng môi giới cho các căn chưa bàn giao,11.672.448.686,5.936.091.152,5.736.357.534,(24.043.547.721),11672448686.0,5936091152.0,5736357534.0,-24043547721.0
Trích trước chi phí giải phóng mặt bằng,Tài sản thuế thu nhập hoãn lại > Trích trước chi phí giải phóng mặt bằng,Trích trước chi phí giải phóng mặt bằng,-,30.943.174.182,(30.943.174.182),14.111.868.184,,30943174182.0,-30943174182.0,14111868184.0
Doanh thu phí dịch vụ quản lý tòa nhà cho nhiều năm đã tính thuế từ năm trước,Tài sản thuế thu nhập hoãn lại > Doanh thu phí dịch vụ quản lý tòa nhà cho nhiều năm đã tính thuế từ năm trước,Doanh thu phí dịch vụ quản lý tòa nhà cho nhiều năm đã tính thuế từ năm trước,6.057.440.189,8.690.081.258,(2.632.641.069),8.690.081.258,6057440189.0,8690081258.0,-2632641069.0,8690081258.0
Chi phí sử dụng vốn liên quan tới các căn hộ chưa bàn giao,Tài sản thuế thu nhập hoãn lại > Chi phí sử dụng vốn liên quan tới các căn hộ chưa bàn giao,Chi phí sử dụng vốn liên quan tới các căn hộ chưa bàn giao,3.312.561.897,-,3.312.561.897,-,3312561897.0,,3312561897.0,
Thuế TNDN 1% tạm tính cho các khoản khách hàng thanh toán theo tiến độ để nhận chuyển nhượng bất động sản,Tài sản thuế thu nhập hoãn lại > Thuế TNDN 1% tạm tính cho các khoản khách hàng thanh toán theo tiến độ để nhận chuyển nhượng bất động sản,Thuế TNDN 1% tạm tính cho các khoản khách hàng thanh toán theo tiến độ để nhận chuyển nhượng bất động sản,11.049.258.255,-,11.049.258.255,-,11049258255.0,,11049258255.0,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con Lãi chênh lệch tỷ giá đã thực hiện khi thanh toán khoản mục có gốc ngoại tệ trước thời điểm hoạt động,Thuế thu nhập hoãn lại phải trả > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con Lãi chênh lệch tỷ giá đã thực hiện khi thanh toán khoản mục có gốc ngoại tệ trước thời điểm hoạt động,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con Lãi chênh lệch tỷ giá đã thực hiện khi thanh toán khoản mục có gốc ngoại tệ trước thời điểm hoạt động,(71.789.930.019),(74.191.440.495),2.401.510.476,1.965.818.586,-71789930019.0,-74191440495.0,2401510476.0,1965818586.0
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con Lãi chênh lệch tỷ giá đã thực hiện khi thanh toán khoản mục có gốc ngoại tệ trước thời điểm hoạt động,Thuế thu nhập hoãn lại phải trả > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con Lãi chênh lệch tỷ giá đã thực hiện khi thanh toán khoản mục có gốc ngoại tệ trước thời điểm hoạt động,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con Lãi chênh lệch tỷ giá đã thực hiện khi thanh toán khoản mục có gốc ngoại tệ trước thời điểm hoạt động,(5.575.102.396),-,(5.575.102.396),-,-5575102396.0,,-5575102396.0,
