row_label_raw,row_label_full,Tên,Chức vụ,Đơn vị tính: VNDThu nhập > Năm nay,Đơn vị tính: VNDThu nhập > Năm trước,numeric__Chức vụ,numeric__Đơn vị tính: VNDThu nhập > Năm nay,numeric__Đơn vị tính: VNDThu nhập > Năm trước
Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Chủ tịch,1.495.353.202,1.232.976.190,,1495353202.0,1232976190.0
Ông Nguyễn Văn Tô,Ông Nguyễn Văn Tô,Ông Nguyễn Văn Tô,Ủy viên HĐQT,604.797.646,692.606.476,,604797646.0,692606476.0
Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Ủy viên HĐQT kiểm Phó Tổng Giám đốc,1.589.462.556,1.834.040.000,,1589462556.0,1834040000.0
Ông Đào Hữu Khanh,Ông Đào Hữu Khanh,Ông Đào Hữu Khanh,Ủy viên HĐQT,852.429.167,1.295.278.571,,852429167.0,1295278571.0
Ông Lê Xuân Long,Ông Lê Xuân Long,Ông Lê Xuân Long,Ủy viên HĐQT,459.828.282,442.595.238,,459828282.0,442595238.0
Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Thành viên độc lập HĐQT,970.200.808,1.231.844.471,,970200808.0,1231844471.0
Ông Ngô Xuân Quyền,Ông Ngô Xuân Quyền,Ông Ngô Xuân Quyền,Thành viên độc lập HĐQT,135.191.919,243.500.000,,135191919.0,243500000.0
Ông Chu Tuấn Anh,Ông Chu Tuấn Anh,Ông Chu Tuấn Anh,Phó Tổng Giám đốc,1.702.142.697,1.984.140.000,,1702142697.0,1984140000.0
Ông Lê Xuân Tuấn,Ông Lê Xuân Tuấn,Ông Lê Xuân Tuấn,Phó Tổng Giám đốc,171.437.766,-,,171437766.0,
Ông Nguyễn Văn Cương,Ông Nguyễn Văn Cương,Ông Nguyễn Văn Cương,Phó Tổng Giám đốc,193.961.095,,,193961095.0,
Ông Trần Trung Dũng,Ông Trần Trung Dũng,Ông Trần Trung Dũng,Phó Tổng Giám đốc,-,1.223.027.227,,,1223027227.0
Ông Nguyễn Hữu Vinh,Ông Nguyễn Hữu Vinh,Ông Nguyễn Hữu Vinh,Phó Tổng Giám đốc,616.235.333,1.170.999.500,,616235333.0,1170999500.0
Ông Đình Văn Võ,Ông Đình Văn Võ,Ông Đình Văn Võ,Phó Tổng Giám đốc,914.294.974,426.001.773,,914294974.0,426001773.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,9.705.335.445,11.777.009.446,,9705335445.0,11777009446.0
