row_label_raw,row_label_full,STT,Tên công ty,Tỷ lệ lợi ích (%),Tỷ lệ biểu quyết (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ biểu quyết (%),numeric__Trụ sở chính,numeric__Hoạt động chính
1,1,1,Công ty Khánh Hà,"70,92%","70,92%","Cầu Đá, phường Vĩnh Nguyên, thành phố Nha Trang, tỉnh Khánh Hòa",Đầu tư và kinh doanh bất động sản,,0.7092,0.7092,,
2,2,2,Công ty 756 Sài Gòn,"89,00%","89,00%","Số 200 đường 3/2, phường 12, quận 10, thành phố Hồ Chí Minh",Đầu tư và kinh doanh bất động sản,,0.89,0.89,,
3,3,3,Công ty Za Hưng,"51,75%","51,75%","Số 8 Láng Hạ, phường Thành Công, quận Ba Đình, Hà Nội","Sản xuất, truyền tải và phân phối điện",,0.5175,0.5175,,
4,4,4,Công ty Sông Tranh 4 (i),"62,72%","89,68%","Thôn Tam Tú, xã Quế Lưu, huyện Hiệp Đức, tỉnh Quảng Nam","Sản xuất, truyền tải và phân phối điện",,0.6272,0.8968,,
5,5,5,Công ty Hà Đô Bình Thuận (i),"83,22%","90,00%","Số 101 thôn Hồng Trung, xã Hồng Phong, huyện Bắc Bình, tỉnh Bình Thuận","Sản xuất, truyền tải và phân phối điện",,0.8321999999999999,0.9,,
6,6,6,Công ty Quốc tế Hà Đô,100%,100%,"Số 272, đường Dondeng, bản Nongtha Tay huyện Chănthabuly, thủ đồ Viêng Chăn, Lào",Đầu tư và kinh doanh bất động sản,,1.0,1.0,,
7,7,7,Công ty Quản lý Hà Đô,100%,100%,"Số 60M Trường Sơn, phường 2, quận Tân Bình, thành phố Hồ Chí Minh","Tư vấn, quản lý bất động sản",,1.0,1.0,,
8,8,8,Công ty Bình An Riverside,"99,00%","99,00%","Số 2735 Phạm Thế Hiển, phường 7, quận 8, thành phố Hồ Chí Minh",Đầu tư và kinh doanh bất động sản,,0.99,0.99,,
9,9,9,Công ty Thiết bị Giáo dục 1,"99,94%","99,94%","Số 62 Phan Đình Giót, phường Phương Liệt, quận Thanh Xuân, Hà Nội",Đầu tư và kinh doanh bất động sản,,0.9994,0.9994,,
10,10,10,Công ty Agrita - Quảng Nam (i),"97,57%","99,98%","Số 44 Lê Quý Đôn, thị trấn Khâm Đức, huyện Phước Sơn, tỉnh Quảng Nam","Sản xuất, truyền tải và phân phối điện",,0.9756999999999999,0.9998,,
11,11,11,Công ty Minh Long (i),"99,46%","99,70%","Số 242 Cống Quỳnh, phường Phạm Ngũ Lão, quận 1, thành phố Hồ Chí Minh",Hoạt động mua bán nợ,,0.9945999999999999,0.997,,
12,12,12,Công ty Hà Đô Thuận Nam (i),"99,97%",100%,"Thôn Quán Thẻ 1, xã Phước Minh, huyện Thuận Nam, tỉnh Ninh Thuận","Sản xuất, truyền tải và phân phối điện",,0.9997,1.0,,
13,13,13,Công ty Surya (i),"99,97%",100%,"Thôn Phước An 1, xã Phước Vinh, huyện Ninh Phước, tỉnh Ninh Thuận","Sản xuất, truyền tải và phân phối điện",,0.9997,1.0,,
14,14,14,Công ty Hà Đô Ninh Thuận (ii),100%,100%,"Số 6 Phạm Đình Hỗ, khu phố 6, phường Mỹ Bình, thành phố Phan Rang - Tháp Chàm, tỉnh Ninh Thuận","Sản xuất, truyền tải và phân phối điện",,1.0,1.0,,
15,15,15,"Công ty Cổ phần Năng lượng Hà Đô (""Công ty Năng lượng Hà Đô"") (iii)","99,96%","99,96%","Số 8 Láng Hạ, phường Thành Công, quận Ba Đình, Hà Nội","Sản xuất, truyền tải và phân phối điện",,0.9995999999999999,0.9995999999999999,,
16,16,16,"Công ty Cổ phần Điện gió Tiến Thành Hàm Kiệm (""Công ty Tiến Thành Hàm Kiệm"") (i), (iv)","28,98%",56%,"Thôn Thanh Thịnh, xã Hồng Phòng, huyện Bắc Bình, tỉnh Bình Thuận","Sản xuất, truyền tải và phân phối điện",,0.2898,0.56,,
