row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND Số cuối năm > Giá trị,Đơn vị tính: VND Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị,numeric__Đơn vị tính: VND Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh số 23.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 23.1),Vay ngân hàng(Thuyết minh số 23.1),67.912.460.495,67.912.460.495,630.120.946.740,(225.762.460.475),472.270.946.760,472.270.946.760,67912460495.0,67912460495.0,630120946740.0,-225762460475.0,472270946760.0,472270946760.0
Vay đổi tượng khác(Thuyết minh số 23.2),Vay ngắn hạn > Vay đổi tượng khác(Thuyết minh số 23.2),Vay đổi tượng khác(Thuyết minh số 23.2),265.292.679.154,265.292.679.154,144.786.910.585,(344.889.604.256),65.189.985.483,65.189.985.483,265292679154.0,265292679154.0,144786910585.0,-344889604256.0,65189985483.0,65189985483.0
Vay dài hạn đến hạn trả (Thuyết minh 23.1),Vay ngắn hạn > Vay dài hạn đến hạn trả (Thuyết minh 23.1),Vay dài hạn đến hạn trả (Thuyết minh 23.1),267.170.060.024,267.170.060.024,443.991.278.571,(442.369.924.232),268.791.414.363,268.791.414.363,267170060024.0,267170060024.0,443991278571.0,-442369924232.0,268791414363.0,268791414363.0
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 23.3),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả(Thuyết minh số 23.3),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 23.3),249.537.671.233,249.537.671.233,483.198.817.760,(250.000.000.000),482.736.488.993,482.736.488.993,249537671233.0,249537671233.0,483198817760.0,-250000000000.0,482736488993.0,482736488993.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,849.912.870.906,849.912.870.906,1.702.097.953.656,(1.263.021.988.963),1.288.988.835.599,1.288.988.835.599,849912870906.0,849912870906.0,1702097953656.0,-1263021988963.0,1288988835599.0,1288988835599.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 23.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 23.1),Vay ngân hàng(Thuyết minh số 23.1),4.827.784.778.858,4.827.784.778.858,1.758.525.518.637,(1.125.450.411.008),5.460.859.886.487,5.460.859.886.487,4827784778858.0,4827784778858.0,1758525518637.0,-1125450411008.0,5460859886487.0,5460859886487.0
Vay đổi tượng khác,Vay dài hạn > Vay đổi tượng khác,Vay đổi tượng khác,40.000.000.000,40.000.000.000,-,(40.000.000.000),-,-,40000000000.0,40000000000.0,,-40000000000.0,,
Vay các bên liên quan(Thuyết minh số 33.3),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 33.3),Vay các bên liên quan(Thuyết minh số 33.3),57.000.000.000,57.000.000.000,417.000.000.000,(57.000.000.000),417.000.000.000,417.000.000.000,57000000000.0,57000000000.0,417000000000.0,-57000000000.0,417000000000.0,417000000000.0
Trái phiếu(Thuyết minh số 23.3),Vay dài hạn > Trái phiếu(Thuyết minh số 23.3),Trái phiếu(Thuyết minh số 23.3),793.121.677.261,793.121.677.261,216.768.155.940,(801.534.125.356),208.355.707.845,208.355.707.845,793121677261.0,793121677261.0,216768155940.0,-801534125356.0,208355707845.0,208355707845.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,5.717.906.456.119,5.717.906.456.119,2.392.293.674.577,(2.023.984.536.364),6.086.215.594.332,6.086.215.594.332,5717906456119.0,5717906456119.0,2392293674577.0,-2023984536364.0,6086215594332.0,6086215594332.0
