row_label_raw,row_label_full,col_0,Kinh doanh bất động sản,Kinh doanh hoạt động xây lắp,Sản xuất và kinh doanh điện,Kinh doanh hoạt động cho thuê và các hoạt động khác,Điều chỉnh và loại trừ,Đơn vị tính: VND Tổng cộng,numeric__Kinh doanh bất động sản,numeric__Kinh doanh hoạt động xây lắp,numeric__Sản xuất và kinh doanh điện,numeric__Kinh doanh hoạt động cho thuê và các hoạt động khác,numeric__Điều chỉnh và loại trừ,numeric__Đơn vị tính: VND Tổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu bán hàng nội bộ,Doanh thu > Doanh thu bán hàng nội bộ,Doanh thu bán hàng nội bộ,302.045.267.544,313.305.394.322,-,69.837.132.261,(685.187.794.127),-,302045267544.0,313305394322.0,,69837132261.0,-685187794127.0,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,1.975.212.158.628,140.946.931.943,1.275.919.030.628,385.358.022.247,-,3.777.436.143.446,1975212158628.0,140946931943.0,1275919030628.0,385358022247.0,,3777436143446.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,2.277.257.426.172,454.252.326.265,1.275.919.030.628,455.195.154.508,(685.187.794.127),3.777.436.143.446,2277257426172.0,454252326265.0,1275919030628.0,455195154508.0,-685187794127.0,3777436143446.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,
Lợi nhuận gộp trước thuế của bộ phận,Kết quả > Lợi nhuận gộp trước thuế của bộ phận,Lợi nhuận gộp trước thuế của bộ phận,1.399.332.757.206,33.285.152.751,921.746.236.522,201.898.849.714,(236.169.290.988),2.320.093.705.205,1399332757206.0,33285152751.0,921746236522.0,201898849714.0,-236169290988.0,2320093705205.0
Thu nhập/(chi phí) không phân bổ (i),Kết quả > Thu nhập/(chi phí) không phân bổ (i),Thu nhập/(chi phí) không phân bổ (i),-,-,-,-,(344.420.347.570),(344.420.347.570),,,,,-344420347570.0,-344420347570.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.137.502.488.166,22.849.192.729,871.453.625.459,191.815.611.456,(580.589.638.559),1.643.031.279.251,1137502488166.0,22849192729.0,871453625459.0,191815611456.0,-580589638559.0,1643031279251.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,-,-,-,-,(299.358.220.374),(299.358.220.374),,,,,-299358220374.0,-299358220374.0
Lợi nhuận/(lỗ) thuần sau thuế,Kết quả > Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,1.137.502.488.166,22.849.192.729,871.453.625.459,191.815.611.456,(879.947.858.933),1.343.673.058.877,1137502488166.0,22849192729.0,871453625459.0,191815611456.0,-879947858933.0,1343673058877.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,2.168.003.857.476,6.200.362.964,10.448.847.825.420,1.802.936.996.111,-,14.425.989.041.971,2168003857476.0,6200362964.0,10448847825420.0,1802936996111.0,,14425989041971.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),-,-,-,-,1.465.554.948.126,1.465.554.948.126,,,,,1465554948126.0,1465554948126.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,2.168.003.857.476,6.200.362.964,10.448.847.825.420,1.802.936.996.111,1.465.554.948.126,15.891.543.990.097,2168003857476.0,6200362964.0,10448847825420.0,1802936996111.0,1465554948126.0,15891543990097.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,2.035.943.660.587,39.500.772.259,499.788.337.474,101.880.636.328,-,2.677.113.406.648,2035943660587.0,39500772259.0,499788337474.0,101880636328.0,,2677113406648.0
Công nợ không phân bổ (iii),Tài sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),-,-,-,-,7.824.100.180.739,7.824.100.180.739,,,,,7824100180739.0,7824100180739.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,2.035.943.660.587,39.500.772.259,499.788.337.474,101.880.636.328,7.824.100.180.739,10.501.213.587.387,2035943660587.0,39500772259.0,499788337474.0,101880636328.0,7824100180739.0,10501213587387.0
