row_label_raw,row_label_full,"Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:","Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_1","Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_2","Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_3","Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_4","Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_5","numeric__Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_1","numeric__Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_2","numeric__Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_3","numeric__Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_4","numeric__Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_5"
STT,STT,STT,Tên công ty,Tỷ lệ lợi ích(%),Tỷ lệ biểu quyết (%),Trụ sở chính,Hoạt động chính,,,,,
1,STT > 1,1,"Công ty Cổ phần Hà Đô 1 (""Công ty Hà Đô 1"")","51,01%","51,01%","Số 186 Hoàng Sâm, phường Nghĩa Đô,quận Cầu Giấy, Hà Nội","Xây dựng công trình giao thông, côngtrình dân dụng",,0.5101,0.5101,,
2,STT > 2,2,"Công ty Cổ phần Đầu tư Khánh Hà (""Công ty KhánhHà"")","70,92%","70,92%","Cầu Đá, phường Vĩnh Nguyên, thành phốNha Trang, tỉnh Khánh Hòa",Đầu tư và kinh doanh bất động sản,,0.7092,0.7092,,
3,STT > 3,3,"Công ty Cổ phần Hà Đô - 756 Sài Gòn (""Công ty756 Sài Gòn"")","89,00%","89,00%","Số 200 đường 3/2, phường 12, quận 10,thành phố Hồ Chí Minh",Đầu tư và kinh doanh bất động sản,,0.89,0.89,,
4,STT > 4,4,"Công ty Cổ phần Cơ điện Xây dựng Thiết bị Côngnghiệp Hà Đô (""Công ty Hà Đô Mee"")","51,00%","51,00%","Số 186 Hoàng Sâm, phường Nghĩa Đô,quận Cầu Giấy, Hà Nội","Xây dựng công trình giao thông, côngtrình dân dụng",,0.51,0.51,,
5,STT > 5,5,"Công ty Cổ phần Za Hưng (""Công ty ZaHưng"")","51,75%","51,75%","Số 8 Láng Hạ, phường Thành Công, quậnBa Đình, Hà Nội","Sản xuất, truyền tải và phân phối điện",,0.5175,0.5175,,
6,STT > 6,6,"Công ty Cổ phần Thủy điện Sông Tranh 4 (""Công tySông Tranh 4"") (i)","62,72%","89,68%","Thôn Tam Tú, xã Quế Lưu, huyện Hiệp Đức,tỉnh Quảng Nam","Sản xuất, truyền tải và phân phối điện",,0.6272,0.8968,,
7,STT > 7,7,"Công ty TNHH Hà Đô Bình Thuận (""Công ty Hà ĐôBình Thuận"") (i)","83,25%","90,00%","Số 101 thôn Hồng Trung, xã Hồng Phong,huyện Bắc Bình, tỉnh Bình Thuận","Sản xuất, truyền tải và phân phối điện",,0.8325,0.9,,
8,STT > 8,8,"Công ty TNHH MTV Đầu tư Quốc tế Hà Đô (""Công tyQuốc tế Hà Đô"")",100%,100%,"Số 272, đường Dondeng, bản Nongtha Tayhuyện Chănthabuly, thủ đô Viêng Chăn, Lào",Đầu tư và kinh doanh bất động sản,,1.0,1.0,,
9,STT > 9,9,"Công ty TNHH MTV Quản lý - Vận hành - Khai thácBắt động sản Hà Đô (""Công ty Quản lý Hà Đô"")",100%,100%,"Số 60M Trường Sơn, phường 2, quận TânBình, thành phố Hồ Chí Minh","Tư vấn, quản lý bất động sản",,1.0,1.0,,
