row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Quỹ bảo trì căn hộ (i),Ngắn hạn > Quỹ bảo trì căn hộ (i),Quỹ bảo trì căn hộ (i),207.302.276.729,165.065.716.603,207302276729.0,165065716603.0
Lệ phí trước bạ thu hộ,Ngắn hạn > Lệ phí trước bạ thu hộ,Lệ phí trước bạ thu hộ,25.671.851.136,24.167.646.844,25671851136.0,24167646844.0
Phải trả tiền hỗ trợ chuyển giao mặt bằng dự án An Khánh - An Thương (ii),Ngắn hạn > Phải trả tiền hỗ trợ chuyển giao mặt bằng dự án An Khánh - An Thương (ii),Phải trả tiền hỗ trợ chuyển giao mặt bằng dự án An Khánh - An Thương (ii),20.630.454.546,20.630.454.546,20630454546.0,20630454546.0
Phải trả cổ tức,Ngắn hạn > Phải trả cổ tức,Phải trả cổ tức,17.642.520.938,177.673.707.175,17642520938.0,177673707175.0
Nhận đặt cọc cho mục đích bán bất động sản,Ngắn hạn > Nhận đặt cọc cho mục đích bán bất động sản,Nhận đặt cọc cho mục đích bán bất động sản,12.790.733.601,18.400.000.000,12790733601.0,18400000000.0
Thu hộ phải trả,Ngắn hạn > Thu hộ phải trả,Thu hộ phải trả,12.715.464.471,12.715.464.471,12715464471.0,12715464471.0
"Nhận ký cược, ký quỹ","Ngắn hạn > Nhận ký cược, ký quỹ","Nhận ký cược, ký quỹ",12.468.250.111,14.752.522.979,12468250111.0,14752522979.0
Phí dịch vụ môi trường rừng,Ngắn hạn > Phí dịch vụ môi trường rừng,Phí dịch vụ môi trường rừng,8.518.420.080,5.698.990.404,8518420080.0,5698990404.0
Phải trả lợi nhuận chia sẻ theo BCC (iii),Ngắn hạn > Phải trả lợi nhuận chia sẻ theo BCC (iii),Phải trả lợi nhuận chia sẻ theo BCC (iii),5.875.000.280,5.875.000.280,5875000280.0,5875000280.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,20.587.424.107,18.102.589.260,20587424107.0,18102589260.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,344.202.395.999,463.082.092.562,344202395999.0,463082092562.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác ngắn hạn các bên khác,Trong đó: > Phải trả khác ngắn hạn các bên khác,Phải trả khác ngắn hạn các bên khác,326.411.631.061,463.082.092.562,326411631061.0,463082092562.0
Phải trả khác ngắn hạn các bên liên quan(Thuyết minh số 33.2),Trong đó: > Phải trả khác ngắn hạn các bên liên quan(Thuyết minh số 33.2),Phải trả khác ngắn hạn các bên liên quan(Thuyết minh số 33.2),17.790.764.938,-,17790764938.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận đặt cọc cho thuê,Dài hạn > Nhận đặt cọc cho thuê,Nhận đặt cọc cho thuê,28.284.112.621,28.056.528.486,28284112621.0,28056528486.0
Phí dịch vụ quản lý phải trả,Dài hạn > Phí dịch vụ quản lý phải trả,Phí dịch vụ quản lý phải trả,6.874.066.080,-,6874066080.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,35.158.178.701,28.056.528.486,35158178701.0,28056528486.0
