row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Tạm ứng (i),Ngắn hạn: > Tạm ứng (i),Tạm ứng (i),304.351.824.254,213.143.723.994,304351824254.0,213143723994.0
Phải thu ký quỹ đảm bảo thực hiện dự án (ii),Ngắn hạn: > Phải thu ký quỹ đảm bảo thực hiện dự án (ii),Phải thu ký quỹ đảm bảo thực hiện dự án (ii),20.105.279.456,19.752.500.000,20105279456.0,19752500000.0
"Phải thu từ lãi cho vay, lãi tiền gửi","Ngắn hạn: > Phải thu từ lãi cho vay, lãi tiền gửi","Phải thu từ lãi cho vay, lãi tiền gửi",6.738.389.626,42.248.925.573,6738389626.0,42248925573.0
Các khoản phải thu ngắn hạn khác,Ngắn hạn: > Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,19.244.115.456,20.734.634.424,19244115456.0,20734634424.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,350.439.608.792,295.879.783.991,350439608792.0,295879783991.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ các bên khác,Trong đó: > Phải thu ngắn hạn khác từ các bên khác,Phải thu ngắn hạn khác từ các bên khác,285.172.388.792,261.441.133.991,285172388792.0,261441133991.0
Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 33.2),Trong đó: > Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 33.2),Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 33.2),65.267.220.000,34.438.650.000,65267220000.0,34438650000.0
Dự phòng phải thu ngắn hạn khác khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,(3.491.985.448),-,-3491985448.0,
