row_label_raw,row_label_full,"Chi phí nguyên, vật liệu","Chi phí nguyên, vật liệu_1","Chi phí nguyên, vật liệu_2","numeric__Chi phí nguyên, vật liệu_1","numeric__Chi phí nguyên, vật liệu_2"
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",8.504.257.198,14.841.877.122,8504257198.0,14841877122.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,35.404.921.358,34.896.550.214,35404921358.0,34896550214.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,7.562.622.402,7.256.988.367,7562622402.0,7256988367.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,,9.874.620.468,,9874620468.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",24.420.590,66.129.918,24420590.0,66129918.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,17.055.122.032,22.055.604.899,17055122032.0,22055604899.0
Các khoản chi phí QLDN khác,Các khoản chi phí QLDN khác,Các khoản chi phí QLDN khác,24.528.044.939,23.632.037.521,24528044939.0,23632037521.0
Cộng,Cộng,Cộng,93.079.388.519,112.623.808.509,93079388519.0,112623808509.0
