row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị,31/12/2020 > Dự phòng,01/01/2020 > Giá trị,01/01/2020 > Dự phòng,31/12/2020 > Giá trị_1,31/12/2020 > Giá trị_2,01/01/2020,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Dự phòng,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Dự phòng,numeric__31/12/2020 > Giá trị_1,numeric__31/12/2020 > Giá trị_2,numeric__01/01/2020
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,128.736.188.533,,136.693.001.410,,128.736.188.533,136.693.001.410,,128736188533.0,,136693001410.0,,128736188533.0,136693001410.0,
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,295.041.319.490,"(9.874.620.468,00)",374.171.006.613,(9.874.620.468),285.166.699.022,364.296.386.145,,295041319490.0,-9874620468.0,374171006613.0,-9874620468.0,285166699022.0,364296386145.0,
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,516.869.444.977,,356.150.413.709,,516.869.444.977,356.150.413.709,,516869444977.0,,356150413709.0,,516869444977.0,356150413709.0,
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,208.525.873.081,,186.199.471.140,,208.525.873.081,186.199.471.140,,208525873081.0,,186199471140.0,,208525873081.0,186199471140.0,
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,227.750.000.000,,233.454.610.033,,227.750.000.000,233.454.610.033,,227750000000.0,,233454610033.0,,227750000000.0,233454610033.0,
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,2.287.660.423.712,(5.072.718.869),2.277.408.873.712,(5.192.076.921),2.282.587.704.843,2.272.216.796.791,,2287660423712.0,-5072718869.0,2277408873712.0,-5192076921.0,2282587704843.0,2272216796791.0,
Cộng,Tài sản tài chính > Cộng,Cộng,3.664.583.249.793,(14.947.339.337),3.564.077.376.617,(15.066.697.389),3.649.635.910.456,3.549.010.679.228,,3664583249793.0,-14947339337.0,3564077376617.0,-15066697389.0,3649635910456.0,3549010679228.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,1.301.381.138.002,,445.129.618.876,,1.301.381.138.002,445.129.618.876,,1301381138002.0,,445129618876.0,,1301381138002.0,445129618876.0,
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,178.875.083.452,,489.361.640.930,,178.875.083.452,489.361.640.930,,178875083452.0,,489361640930.0,,178875083452.0,489361640930.0,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,3.299.267.256.074,,2.871.441.223.987,,3.299.267.256.074,2.871.441.223.987,,3299267256074.0,,2871441223987.0,,3299267256074.0,2871441223987.0,
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,20.213.833.985,,186.229.189.914,,20.213.833.985,186.229.189.914,,20213833985.0,,186229189914.0,,20213833985.0,186229189914.0,
Cộng,Nợ phải trả tài chính > Cộng,Cộng,4.804.313.480.655,-,3.992.891.023.868,-,4.804.313.480.655,3.992.891.023.868,,4804313480655.0,,3992891023868.0,,4804313480655.0,3992891023868.0,
