row_label_raw,row_label_full,Chi phí nhân viên bán hàng,19.085.939.000,28.423.431.804,numeric__19.085.939.000,numeric__28.423.431.804
Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,5.210.869.259,5.320.822.701,5210869259.0,5320822701.0
Cộng,Cộng,Cộng,24.296.808.259,33.744.254.505,24296808259.0,33744254505.0
