row_label_raw,row_label_full,Kết kết thúc ngày 31/12/2020,Từ 01 năm trở xuống,Trên 01 năm đến 05 năm,Trên 05 năm,Cộng,numeric__Từ 01 năm trở xuống,numeric__Trên 01 năm đến 05 năm,numeric__Trên 05 năm,numeric__Cộng
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,543.929.316.765,757.451.821.237,,1.301.381.138.002,543929316765.0,757451821237.0,,1301381138002.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,178.875.083.452,,,178.875.083.452,178875083452.0,,,178875083452.0
Vay và nợ,Vay và nợ,Vay và nợ,1.112.706.269.994,2.186.560.986.080,,3.299.267.256.074,1112706269994.0,2186560986080.0,,3299267256074.0
Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,20.213.833.985,,,20.213.833.985,20213833985.0,,,20213833985.0
Cộng,Cộng,Cộng,1.887.251.240.901,2.944.012.807.317,,4.799.737.311.513,1887251240901.0,2944012807317.0,,4799737311513.0
