row_label_raw,row_label_full,Bên cho vay,Hợp đồng,Hạn mức/Số tiền vay,Thời hạn vay,Mục đích vay,Hình thức đảm bảo,numeric__Hợp đồng,numeric__Hạn mức/Số tiền vay,numeric__Thời hạn vay,numeric__Mục đích vay,numeric__Hình thức đảm bảo
- Ngân hàng TMCP Quốc Dân An Giang,- Ngân hàng TMCP Quốc Dân An Giang,- Ngân hàng TMCP Quốc Dân An Giang,063/16,23.200.000.000,84,KS Bảo Giang,Thế chấp tài sản BĐS,,23200000000.0,84.0,,
- Ngân hàng TMCP Đại Chứng An Giang,- Ngân hàng TMCP Đại Chứng An Giang,- Ngân hàng TMCP Đại Chứng An Giang,3110-PVB,40.000.000.000,60,Thuê đất Sa Đéc,Thế chấp tài sản BĐS,,40000000000.0,60.0,,
- Ngân hàng TMCP Tiên Phong An Giang,- Ngân hàng TMCP Tiên Phong An Giang,- Ngân hàng TMCP Tiên Phong An Giang,58/2016,100.000.000.000,60,DA Thanh Hoá,Thế chấp tài sản BĐS,,100000000000.0,60.0,,
- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,23179/18MN,1.400.000.000.000,120,"DA điện mặt trời GD 1,2",Thế chấp bằng tài sản hình thành từ dự án,,1400000000000.0,120.0,,
- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,- Ngân hàng TMCP Phát Triển Tp HCM - Rạch Dừa Vũng Tàu,24233/20MN,1.400.000.000.000,120,"DA điện mặt trời GD 3,4",Thế chấp bằng tài sản hình thành từ dự án,,1400000000000.0,120.0,,
c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,c) Các khoản nợ thuê tài chính đã thanh toán,,,,,
,,,Năm 2020,Năm 2020,Năm 2020,Năm 2019,Năm 2019,,,,,
Thời hạn,Thời hạn,Thời hạn,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trả nợ gốc,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,,,,,
Từ 1 năm trở xuống,Thời hạn > Từ 1 năm trở xuống,Từ 1 năm trở xuống,2.854.269.052,363.182.654,2.491.086.398,3.078.638.736,587.582.520,2854269052.0,363182654.0,2491086398.0,3078638736.0,587582520.0
Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,,,,,,,,,,
Trên 5 năm,Trên 5 năm,Trên 5 năm,,,,,,,,,,
Cộng,Trên 5 năm > Cộng,Cộng,2.854.269.052,363.182.654,2.491.086.398,3.078.638.736,587.582.520,2854269052.0,363182654.0,2491086398.0,3078638736.0,587582520.0
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,,,31/12/2020,31/12/2020,01/01/2020,,,,,
,,,,,Giá đánh giá lại,Giá gốc,Giá đánh giá lại,,,,,
Ngắn hạn,d) Giá trị nợ thuê tài chính > Ngắn hạn,Ngắn hạn,,,2.684.918.520,2.684.918.520,5.176.004.918,,,2684918520.0,2684918520.0,5176004918.0
Gốc nợ thuê tài chính,d) Giá trị nợ thuê tài chính > Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,,,2.684.918.520,2.684.918.520,5.176.004.918,,,2684918520.0,2684918520.0,5176004918.0
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,
Dài hạn,Dài hạn,Dài hạn,,,,,,,,,,
Cộng,Dài hạn > Cộng,Cộng,,,2.684.918.520,2.684.918.520,5.176.004.918,,,2684918520.0,2684918520.0,5176004918.0
