row_label_raw,row_label_full,VAY VÀ NỘ THUÊ TÀI CHÍNHA) Vay ngắn hạn,31/12/2020 > Giá trị,31/12/2020 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,01/01/2020 > Giá trị,01/01/2020 > Số có khả năng trả nợ,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,1.110.021.351.474,1.110.021.351.474,2.913.719.705.973,2.822.526.533.479,1.018.828.178.980,1.018.828.178.980,1110021351474.0,1110021351474.0,2913719705973.0,2822526533479.0,1018828178980.0,1018828178980.0
- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,197.982.027.361,197.982.027.361,571.329.818.654,573.270.821.213,199.923.029.920,199.923.029.920,197982027361.0,197982027361.0,571329818654.0,573270821213.0,199923029920.0,199923029920.0
- Ngân hàng An Bình - CN Cần Thơ,- Ngân hàng An Bình - CN Cần Thơ,- Ngân hàng An Bình - CN Cần Thơ,,,9.946.380.000,19.946.380.000,10.000.000.000,10.000.000.000,,,9946380000.0,19946380000.0,10000000000.0,10000000000.0
- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,226.447.344.034,226.447.344.034,605.776.798.640,578.116.694.496,198.787.239.890,198.787.239.890,226447344034.0,226447344034.0,605776798640.0,578116694496.0,198787239890.0,198787239890.0
- Ngân hàng VPBank Tp.HCM,- Ngân hàng VPBank Tp.HCM,- Ngân hàng VPBank Tp.HCM,397.586.839.088,397.586.839.088,1.093.431.965.511,1.097.901.860.050,402.056.733.627,402.056.733.627,397586839088.0,397586839088.0,1093431965511.0,1097901860050.0,402056733627.0,402056733627.0
- NH TMCP Á Châu - CN An Giang,- NH TMCP Á Châu - CN An Giang,- NH TMCP Á Châu - CN An Giang,54.141.947.704,54.141.947.704,115.062.459.364,60.920.511.660,,,54141947704.0,54141947704.0,115062459364.0,60920511660.0,,
- Ngân hàng Phát Triển Tp.HCM,- Ngân hàng Phát Triển Tp.HCM,- Ngân hàng Phát Triển Tp.HCM,52.832.138.648,52.832.138.648,98.722.080.533,113.773.125.812,67.883.183.927,67.883.183.927,52832138648.0,52832138648.0,98722080533.0,113773125812.0,67883183927.0,67883183927.0
- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,30.000.000.000,30.000.000.000,30.000.000.000,,,,30000000000.0,30000000000.0,30000000000.0,,,
- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,59.102.840.713,59.102.840.713,162.906.837.102,169.567.076.382,65.763.079.993,65.763.079.993,59102840713.0,59102840713.0,162906837102.0,169567076382.0,65763079993.0,65763079993.0
- Ngân hàng Xăng Dầu - An Giang,- Ngân hàng Xăng Dầu - An Giang,- Ngân hàng Xăng Dầu - An Giang,72.909.683.827,72.909.683.827,168.073.809.795,145.079.037.591,49.914.911.623,49.914.911.623,72909683827.0,72909683827.0,168073809795.0,145079037591.0,49914911623.0,49914911623.0
