row_label_raw,row_label_full,col_0,31/12/2020 > Giá gốc,31/12/2020 > Giá trị cóthe thu hồi,01/01/2020 > Giá gốc,01/01/2020 > Giá trị cóthe thu hồi,numeric__31/12/2020 > Giá gốc,numeric__31/12/2020 > Giá trị cóthe thu hồi,numeric__01/01/2020 > Giá gốc,numeric__01/01/2020 > Giá trị cóthe thu hồi
"- Phải thu khách hàng, phải thu khá","- Phải thu khách hàng, phải thu khá","- Phải thu khách hàng, phải thu khá",9.874.620.468,,9.874.620.468,,9874620468.0,,9874620468.0,
Công ty CP Satra Thái Sơn,Công ty CP Satra Thái Sơn,Công ty CP Satra Thái Sơn,6.974.620.468,,6.974.620.468,,6974620468.0,,6974620468.0,
Công ty TNHH cơ điện tử QuangHuy BK,Công ty TNHH cơ điện tử QuangHuy BK,Công ty TNHH cơ điện tử QuangHuy BK,2.900.000.000,,2.900.000.000,,2900000000.0,,2900000000.0,
Cộng,Cộng,Cộng,9.874.620.468,,9.874.620.468,,9874620468.0,,9874620468.0,
06 . HÀNG TỔN KHO,06 . HÀNG TỔN KHO,06 . HÀNG TỔN KHO,31/12/2020,31/12/2020,01/01/2020,01/01/2020,,,,
06 . HÀNG TỔN KHO,06 . HÀNG TỔN KHO,06 . HÀNG TỔN KHO,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"- Nguyên liệu, vật liệu","06 . HÀNG TỔN KHO > - Nguyên liệu, vật liệu","- Nguyên liệu, vật liệu",3.130.938.627,,3.348.913.140,,3130938627.0,,3348913140.0,
- Chi phí sản xuất kinh doanh dở dang,06 . HÀNG TỔN KHO > - Chi phí sản xuất kinh doanh dở dang,- Chi phí sản xuất kinh doanh dở dang,174.318.262.638,,168.274.360.926,,174318262638.0,,168274360926.0,
- Hàng hóa bắt động sản,06 . HÀNG TỔN KHO > - Hàng hóa bắt động sản,- Hàng hóa bắt động sản,643.837.478.423,,934.764.247.744,,643837478423.0,,934764247744.0,
- Hàng hóa khác,06 . HÀNG TỔN KHO > - Hàng hóa khác,- Hàng hóa khác,9.398.156.017,,,,9398156017.0,,,
- Hàng gửi đi bán,06 . HÀNG TỔN KHO > - Hàng gửi đi bán,- Hàng gửi đi bán,,,16.736.889,,,,16736889.0,
Cộng,06 . HÀNG TỔN KHO > Cộng,Cộng,830.684.835.705,,1.106.404.258.699,,830684835705.0,,1106404258699.0,
