row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Các khoản phải trả (VND),numeric__Nội dung nghiệp vụ,numeric__Các khoản phải trả (VND)
+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,,
,,,Mua cá thành phẩm,683.941.560,,683941560.0
+ Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,,
,,,"Dịch vụ nhà hàng, khách sạn, vé máy bay",937.501.000,,937501000.0
+ Công ty Cổ phần Nhựt Hồng,+ Công ty Cổ phần Nhựt Hồng,+ Công ty Cổ phần Nhựt Hồng,+ Công ty Cổ phần Nhựt Hồng,+ Công ty Cổ phần Nhựt Hồng,,
,,,Tổng thầu xây dựng khu dân cư Cà Mau,22.041.848.561,,22041848561.0
+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,,
,,,"Tiền vé máy bay, tiếp khách",233.565.000,,233565000.0
+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,,
,,,Nền bến xe Châu Đốc,5.237.517.996,,5237517996.0
,,,Tư vấn thiết kế,22.822.578.353,,22822578353.0
+Cty CP Điện Mặt Trời EUROPLAST Long An,+Cty CP Điện Mặt Trời EUROPLAST Long An,+Cty CP Điện Mặt Trời EUROPLAST Long An,+Cty CP Điện Mặt Trời EUROPLAST Long An,+Cty CP Điện Mặt Trời EUROPLAST Long An,,
,,,"Ứng tiền thuê giám sát, quản lý vận hành Nhà máy điện mặt trời",14.261.060.303,,14261060303.0
