row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Tổng Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Tổng Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.419.338.530.000,45.056.200.000,62.099.684.648,4.971.647.795,421.481.594.031,2.952.947.656.474,2419338530000.0,45056200000.0,62099684648.0,4971647795.0,421481594031.0,2952947656474.0
Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,169.339.960.000,,,,,169.339.960.000,169339960000.0,,,,,169339960000.0
Lãi trong kỳ trước,Lãi trong kỳ trước,Lãi trong kỳ trước,,,,,374.398.326.724,374.398.326.724,,,,,374398326724.0,374398326724.0
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,8.000.000.000,,,8.000.000.000,,,8000000000.0,,,8000000000.0
Giảm vốn trong kỳ trước,Giảm vốn trong kỳ trước,Giảm vốn trong kỳ trước,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Giảm vốn trong kỳ trước > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(10.000.000.000),(10.000.000.000),,,,,-10000000000.0,-10000000000.0
Chia cổ tức,Giảm vốn trong kỳ trước > Chia cổ tức,Chia cổ tức,,,,,(428.207.809.000),(428.207.809.000),,,,,-428207809000.0,-428207809000.0
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,
Số dư đầu năm nay,Giảm khác > Số dư đầu năm nay,Số dư đầu năm nay,2.588.678.490.000,45.056.200.000,70.099.684.648,4.971.647.795,357.672.111.755,3.066.478.134.198,2588678490000.0,45056200000.0,70099684648.0,4971647795.0,357672111755.0,3066478134198.0
Tăng vốn trong kỳ này,Tăng vốn trong kỳ này,Tăng vốn trong kỳ này,,,,,,,,,,,,
Lãi trong kỳ này.,Tăng vốn trong kỳ này > Lãi trong kỳ này.,Lãi trong kỳ này.,,,,,509.518.887.100,509.518.887.100,,,,,509518887100.0,509518887100.0
Tăng do trích từ lợi nhuận,Tăng vốn trong kỳ này > Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,8.000.000.000,,,8.000.000.000,,,8000000000.0,,,8000000000.0
Tăng khác,Tăng khác,Tăng khác,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Tăng khác > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(10.000.000.000),(10.000.000.000),,,,,-10000000000.0,-10000000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,,,,,,
Lỗ trong kỳ này,Lỗ trong kỳ này,Lỗ trong kỳ này,,,,,,,,,,,,
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,
Số dư cuối kỳ này,Giảm khác > Số dư cuối kỳ này,Số dư cuối kỳ này,2.588.678.490.000,45.056.200.000,78.099.684.648,4.971.647.795,857.190.998.855,3.573.997.021.298,2588678490000.0,45056200000.0,78099684648.0,4971647795.0,857190998855.0,3573997021298.0
