row_label_raw,row_label_full,a) Ngoại tệ các loại,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
- Dollar Mỹ (USD),- Dollar Mỹ (USD),- Dollar Mỹ (USD),"180.645,58","59.927,21",180645.58,59927.21
- Bảng Anh (EUR),- Bảng Anh (EUR),- Bảng Anh (EUR),,,,
