row_label_raw,row_label_full,Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Bên cho vay > - Ngân hàng Nam Á - Cần Thơ > - Ngân hàng Xăng Dầu - An Giang > - Ngân hàng Á Châu,Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Hợp đồng > 0767/2019/60C > 540N101192030001 > Vay vốn HĐ ANG.DN.3253.310320/ACB AG,Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Hạn mức/Số tiền vay > 100.000.000.000 > 80.000.000.000 > 55.000.000.000,Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Thời hạn vay > 5 Tháng > 6 Tháng,"Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Mục đích vay > Vốn lưu động, Phát hành LC, SXKD TA Thủy Sản > Bổ sung vốn lưu động phục vụ kinh doanh thức ăn cá, phát hành LC NK NL SX thức ăn > Phục vụ kinh doanh sản xuất mua bán thức ăn thủy sản",Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Hình thức đảm bảo > Thế chấp Cổ Phiếu + BĐS > Thế chấp BĐS,Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo):,numeric__Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Hợp đồng > 0767/2019/60C > 540N101192030001 > Vay vốn HĐ ANG.DN.3253.310320/ACB AG,numeric__Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Hạn mức/Số tiền vay > 100.000.000.000 > 80.000.000.000 > 55.000.000.000,numeric__Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Thời hạn vay > 5 Tháng > 6 Tháng,"numeric__Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Mục đích vay > Vốn lưu động, Phát hành LC, SXKD TA Thủy Sản > Bổ sung vốn lưu động phục vụ kinh doanh thức ăn cá, phát hành LC NK NL SX thức ăn > Phục vụ kinh doanh sản xuất mua bán thức ăn thủy sản",numeric__Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo): > Hình thức đảm bảo > Thế chấp Cổ Phiếu + BĐS > Thế chấp BĐS,numeric__Ghi chú: Chi tiết khoản vay ngắn hạn kết thúc tại ngày 31/12/2020 ( tiếp theo):
VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo),,,,,,
,,,31/12/2020,31/12/2020,Trong năm,Trong năm,01/01/2020,01/01/2020,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
b) Vay dài hạn,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo) > b) Vay dài hạn,b) Vay dài hạn,2.186.560.986.080,2.186.560.986.080,896.849.397.800,557.725.451.809,1.847.437.040.089,1.847.437.040.089,2186560986080.0,2186560986080.0,896849397800.0,557725451809.0,1847437040089.0,1847437040089.0
Trên 1 năm đến 5 năm,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo) > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,458.522.499.249,458.522.499.249,496.849.397.800,487.725.451.809,449.398.553.258,449.398.553.258,458522499249.0,458522499249.0,496849397800.0,487725451809.0,449398553258.0,449398553258.0
- Ngân hàng TMCP Quốc Dân An Giang,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo) > - Ngân hàng TMCP Quốc Dân An Giang,- Ngân hàng TMCP Quốc Dân An Giang,,,,12.721.000.000,12.721.000.000,12.721.000.000,,,,12721000000.0,12721000000.0,12721000000.0
- Ngân hàng TMCP Tiên Phong An Giang,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo) > - Ngân hàng TMCP Tiên Phong An Giang,- Ngân hàng TMCP Tiên Phong An Giang,23.261.310.766,23.261.310.766,,24.655.355.909,47.916.666.675,47.916.666.675,23261310766.0,23261310766.0,,24655355909.0,47916666675.0,47916666675.0
- Ngân hàng Đại Chứng CN An Giang,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo) > - Ngân hàng Đại Chứng CN An Giang,- Ngân hàng Đại Chứng CN An Giang,16.000.000.000,16.000.000.000,,8.000.000.000,24.000.000.000,24.000.000.000,16000000000.0,16000000000.0,,8000000000.0,24000000000.0,24000000000.0
- Đối tượng khác,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo) > - Đối tượng khác,- Đối tượng khác,419.261.188.483,419.261.188.483,496.849.397.800,442.349.095.900,364.760.886.583,364.760.886.583,419261188483.0,419261188483.0,496849397800.0,442349095900.0,364760886583.0,364760886583.0
Trên 5 năm,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo) > Trên 5 năm,Trên 5 năm,1.728.038.486.831,1.728.038.486.831,400.000.000.000,70.000.000.000,1.398.038.486.831,1.398.038.486.831,1728038486831.0,1728038486831.0,400000000000.0,70000000000.0,1398038486831.0,1398038486831.0
- Ngân hàng TMCP Phát Triển Tp HCM,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo) > - Ngân hàng TMCP Phát Triển Tp HCM,- Ngân hàng TMCP Phát Triển Tp HCM,1.728.038.486.831,1.728.038.486.831,400.000.000.000,70.000.000.000,1.398.038.486.831,1.398.038.486.831,1728038486831.0,1728038486831.0,400000000000.0,70000000000.0,1398038486831.0,1398038486831.0
Cộng,VAY VÀ NỘ THUÊ TÀI CHÍNH ( tiếp theo) > Cộng,Cộng,3.296.582.337.554,3.296.582.337.554,3.810.569.103.773,3.380.251.985.288,2.866.265.219.069,2.866.265.219.069,3296582337554.0,3296582337554.0,3810569103773.0,3380251985288.0,2866265219069.0,2866265219069.0
