row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020_4,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020_5,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020 > Đơn vị tính: VND,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020_5,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2020 > Đơn vị tính: VND
- Tài sản và nợ phải trả bộ phận theo khu vực địa lý ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo khu vực địa lý ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo khu vực địa lý ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo khu vực địa lý ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo khu vực địa lý ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo khu vực địa lý ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo khu vực địa lý ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo khu vực địa lý ( tiếp theo),- Tài sản và nợ phải trả bộ phận theo khu vực địa lý ( tiếp theo),,,,,,
01/01/2020,01/01/2020,01/01/2020,01/01/2020,01/01/2020,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,,,,,,
Tài sản bộ phận,01/01/2020 > Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,3.824.069.466.554,1.853.848.374.039,1.447.932.785.537,7.125.850.626.130,,,3824069466554.0,1853848374039.0,1447932785537.0,7125850626130.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,3.824.069.466.554,1.853.848.374.039,1.447.932.785.537,7.125.850.626.130,,,3824069466554.0,1853848374039.0,1447932785537.0,7125850626130.0
Nợ phải trả bộ phận,Tài sản không phân bổ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,369.665.019.055,611.164.896.340,22.317.786.047,1.003.147.701.442,,,369665019055.0,611164896340.0,22317786047.0,1003147701442.0
Nợp phải trả không phân bổ,Tài sản không phân bổ > Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,3.056.224.790.490,,,,,,3056224790490.0
Tổng nợ phải trả,Tài sản không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,369.665.019.055,611.164.896.340,22.317.786.047,4.059.372.491.932,,,369665019055.0,611164896340.0,22317786047.0,4059372491932.0
b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Điện mặt trời,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng cộng,,,,,,
