row_label_raw,row_label_full,"TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > Chỉ tiêu","TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > Quyền sử dụng đất","TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > Quyền phát hành","TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > Bản quyền, bằng sáng chế","TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > Phần mềm vi tính","TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > TSCĐ vô hình khác",Đơn vị tính: VND > Cộng,"numeric__TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > Quyền sử dụng đất","numeric__TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > Quyền phát hành","numeric__TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > Bản quyền, bằng sáng chế","numeric__TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > Phần mềm vi tính","numeric__TĂNG, GIĂM TÀI SĂN CỔ ĐỊNH VÔ HÌNH > TSCĐ vô hình khác",numeric__Đơn vị tính: VND > Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,34.231.288.088,,,,,34.231.288.088,34231288088.0,,,,,34231288088.0
2. Số tăng trong kỳ,2. Số tăng trong kỳ,2. Số tăng trong kỳ,,,,,,,,,,,,
- Mua trong kỳ,- Mua trong kỳ,- Mua trong kỳ,,,,,,,,,,,,
- Tạo ra từ nội bộ DN,- Tạo ra từ nội bộ DN,- Tạo ra từ nội bộ DN,,,,,,,,,,,,
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,,,
3. Số giảm trong kỳ,- Tăng khác > 3. Số giảm trong kỳ,3. Số giảm trong kỳ,3.873.300.895,,,,,3.873.300.895,3873300895.0,,,,,3873300895.0
"- Thanh lý, nhượng bán","- Tăng khác > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",3.873.300.895,,,,,3.873.300.895,3873300895.0,,,,,3873300895.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,,,
4. Số dư cuối kỳ,- Giảm khác > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,30.357.987.193,,,,,30.357.987.193,30357987193.0,,,,,30357987193.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu năm,1. Số dư đầu năm,1. Số dư đầu năm,,,,,,,,,,,,
2. Khấu hao trong kỳ,2. Khấu hao trong kỳ,2. Khấu hao trong kỳ,,,,,,,,,,,,
- Khấu hao trong kỳ,- Khấu hao trong kỳ,- Khấu hao trong kỳ,,,,,,,,,,,,
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,,,
3. Giảm trong kỳ,3. Giảm trong kỳ,3. Giảm trong kỳ,,,,,,,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,,,,,,,,,
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,,,
4. Số dư cuối kỳ,4. Số dư cuối kỳ,4. Số dư cuối kỳ,,,,,,,,,,,,
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,34.231.288.088,,,,,34.231.288.088,34231288088.0,,,,,34231288088.0
2. Tại ngày cuối kỳ,III. Giá trị còn lại > 2. Tại ngày cuối kỳ,2. Tại ngày cuối kỳ,30.357.987.193,,,,,30.357.987.193,30357987193.0,,,,,30357987193.0
