row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị,31/12/2020 > Số có khả năng trả nợ,01/01/2020 > Giá trị,01/01/2020 > Số có khả năng trả nợ,01/01/2020,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Số có khả năng trả nợ,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Số có khả năng trả nợ,numeric__01/01/2020
Ngắn hạn,Ngắn hạn,Ngắn hạn,543.929.316.765,543.929.316.765,445.129.618.876,445.129.618.876,,543929316765.0,543929316765.0,445129618876.0,445129618876.0,
Phải trả từ chuyển nhượng bắt động sản,Phải trả từ chuyển nhượng bắt động sản,Phải trả từ chuyển nhượng bắt động sản,9.181.666.268,9.181.666.268,1.923.247.498,1.923.247.498,,9181666268.0,9181666268.0,1923247498.0,1923247498.0,
Phải trả từ xây dựng công trình,Phải trả từ xây dựng công trình,Phải trả từ xây dựng công trình,96.542.189.294,96.542.189.294,128.563.175.505,128.563.175.505,,96542189294.0,96542189294.0,128563175505.0,128563175505.0,
Phải trả từ sản xuất và thương mại,Phải trả từ sản xuất và thương mại,Phải trả từ sản xuất và thương mại,273.650.374.367,273.650.374.367,229.264.221.515,229.264.221.515,,273650374367.0,273650374367.0,229264221515.0,229264221515.0,
Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,158.575.456.587,158.575.456.587,81.881.738.726,81.881.738.726,,158575456587.0,158575456587.0,81881738726.0,81881738726.0,
"Phải trả từ dịch vụ du lịch, nhà hàng và khách sạn","Phải trả từ dịch vụ du lịch, nhà hàng và khách sạn","Phải trả từ dịch vụ du lịch, nhà hàng và khách sạn",1.267.667.980,1.267.667.980,665.255.423,665.255.423,,1267667980.0,1267667980.0,665255423.0,665255423.0,
Phải trả khác,Phải trả khác,Phải trả khác,4.711.962.269,4.711.962.269,2.831.980.209,2.831.980.209,,4711962269.0,4711962269.0,2831980209.0,2831980209.0,
Dài hạn,Dài hạn,Dài hạn,757.451.821.237,757.451.821.237,,,,757451821237.0,757451821237.0,,,
Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,757.451.821.237,757.451.821.237,,,,757451821237.0,757451821237.0,,,
Cộng,Cộng,Cộng,1.301.381.138.002,1.301.381.138.002,445.129.618.876,445.129.618.876,,1301381138002.0,1301381138002.0,445129618876.0,445129618876.0,
c) Số nợ quá hạn chưa thanh toán: không có,c) Số nợ quá hạn chưa thanh toán: không có,c) Số nợ quá hạn chưa thanh toán: không có,c) Số nợ quá hạn chưa thanh toán: không có,c) Số nợ quá hạn chưa thanh toán: không có,c) Số nợ quá hạn chưa thanh toán: không có,c) Số nợ quá hạn chưa thanh toán: không có,c) Số nợ quá hạn chưa thanh toán: không có,,,,,
d) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,d) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,d) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,d) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,d) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,d) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,d) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,d) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,,,,,
THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,,,,,
,,,01/01/2020,Trong kỳ,Trong kỳ,31/12/2020,31/12/2020,,,,,
,,,Phải thu,Phải nộp,Số phải nộp,Số đã thực nộp,Phải thu,,,,,
Thuế GTGT,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Thuế GTGT,Thuế GTGT,,10.201.291.446,94.892.658.119,73.331.097.653,,,10201291446.0,94892658119.0,73331097653.0,
Thuế GTGT hàng nhập khẩu,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,,,83.922.295.138,83.922.295.138,,,,83922295138.0,83922295138.0,
Thuế thu nhập doanh nghiệp,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,9.737.615.362,24.748.281.712,13.511.583,,,9737615362.0,24748281712.0,13511583.0,
Thuế thu nhập cá nhân,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.882.584.322,4.703.798.520,29.136.028.397,11.949.768.406,117.062.558,5882584322.0,4703798520.0,29136028397.0,11949768406.0,117062558.0
"Các khoản phí, lệ phí, thuế khác","THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Các khoản phí, lệ phí, thuế khác","Các khoản phí, lệ phí, thuế khác",64.000.000,,,,64.000.000,64000000.0,,,,64000000.0
Cộng,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC > Cộng,Cộng,5.946.584.322,24.642.705.328,232.699.263.366,169.216.672.780,181.062.558,5946584322.0,24642705328.0,232699263366.0,169216672780.0,181062558.0
