row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Giá trị giao dịch (VND),numeric__Nội dung nghiệp vụ,numeric__Giá trị giao dịch (VND)
+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,,
,,,Phí Ủy thác xuất khẩu (cá fillet),284.900.000,,284900000.0
,,,Mua Cá tra Fillet,32.124.254.600,,32124254600.0
,,,Đất Tân Long - Thanh Bình,6.738.971.000,,6738971000.0
,,,Chuyển nhượng QSDĐ kdc Lắp Vò,21.697.907.000,,21697907000.0
,,,Kho lạnh số 4,30.172.720.000,,30172720000.0
,,,Đất Tạ Quang Bửu,250.000.000.000,,250000000000.0
,,,Bán máy móc thiết bị nhà máy 02 (mở rộng),51.343.066.000,,51343066000.0
,,,Thuê đất nuôi cá,720.000.000,,720000000.0
+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,,
,,,Công trình nhà máy tính luyện đầu,7.204.350.000,,7204350000.0
,,,Công trình nhà kho,16.878.230.000,,16878230000.0
,,,Hoàn tiền tạm ứng nhà kho,23.121.770.000,,23121770000.0
,,,Hoàn ứng nhà máy tinh luyện đầu,37.795.650.000,,37795650000.0
