row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ dự phòngtài chính,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuậnsau thuế chưaphân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ dự phòngtài chính,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuậnsau thuế chưaphân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.007.907.900.000,451.543.290.363,(81.038.848.436),-,8.525.313.060,13.278.012.117,1.022.418.679.462,2.422.634.346.566,1007907900000.0,451543290363.0,-81038848436.0,,8525313060.0,13278012117.0,1022418679462.0,2422634346566.0
Lợi nhuận thuầntrong năm,Năm trước > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,-,-,688.057.792.771,688.057.792.771,,,,,,,688057792771.0,688057792771.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,-,(144.469.647.000),(144.469.647.000),,,,,,,-144469647000.0,-144469647000.0
Mua cổ phiếu quỹ,Năm trước > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(49.247.074),-,-,-,-,(49.247.074),,,-49247074.0,,,,,-49247074.0
Tái phát hành cổphiêu quỹ (*),Năm trước > Tái phát hành cổphiêu quỹ (*),Tái phát hành cổphiêu quỹ (*),-,35.747.180.000,28.974.400.000,-,-,-,-,64.721.580.000,,35747180000.0,28974400000.0,,,,,64721580000.0
Trích lập quỹ khenthường và phúc lợi,Năm trước > Trích lập quỹ khenthường và phúc lợi,Trích lập quỹ khenthường và phúc lợi,-,-,-,-,-,-,(16.413.694.648),(16.413.694.648),,,,,,,-16413694648.0,-16413694648.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,-,-,-,18.465.406.480,(18.465.406.480),-,,,,,,18465406480.0,-18465406480.0,
Sử dụng quỹ,Năm trước > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,-,(25.138.263.228),-,(25.138.263.228),,,,,,-25138263228.0,,-25138263228.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.007.907.900.000,487.290.470.363,(52.113.695.510),-,8.525.313.060,6.605.155.369,1.531.127.724.105,2.989.342.867.387,1007907900000.0,487290470363.0,-52113695510.0,,8525313060.0,6605155369.0,1531127724105.0,2989342867387.0
